Condition,derivative_t0,Dataset,Mean,Std,v0_fmol,base_sample,mean_final,std_final,Cells/PA,std_PA,v0_cell,PI_status,Mean_fmol,Std_fmol,Mean_cell,Std_cell
100,22.12142807,PR_SEC,19.67117802,2.151705625,55.30357017,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.007660364,noPI,49.17794504,5.379264064,,
100,18.08962191,PR_SEC,19.67117802,2.151705625,45.22405477,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006264202,noPI,49.17794504,5.379264064,,
150,36.92922119,PR_SEC,36.59120952,9.310386346,92.32305299,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.01278811,noPI,91.4780238,23.27596586,0.012671061,0.003224
150,45.7279871,PR_SEC,36.59120952,9.310386346,114.3199678,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.015835009,noPI,91.4780238,23.27596586,,
150,27.11642027,PR_SEC,36.59120952,9.310386346,67.79105067,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.009390065,noPI,91.4780238,23.27596586,,
25,19.63878083,PR_SECPI,18.67504318,1.838862497,49.09695207,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006800655,PI,46.68760794,4.597156243,0.006466925,0.000637
25,16.55463153,PR_SECPI,18.67504318,1.838862497,41.38657882,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.005732654,PI,46.68760794,4.597156243,,
25,19.83171717,PR_SECPI,18.67504318,1.838862497,49.57929294,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.006867467,PI,46.68760794,4.597156243,,
50,8.952632212,PR_SECPI,9.21549679,0.295672434,22.38158053,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.00310018,PI,23.03874197,0.739181085,0.003191207,0.000102
50,9.158252506,PR_SECPI,9.21549679,0.295672434,22.89563126,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003171384,PI,23.03874197,0.739181085,,
50,9.53560565,PR_SECPI,9.21549679,0.295672434,23.83901413,PR,288.7777778,61.29558017,7219.444444,1532.389504,0.003302057,PI,23.03874197,0.739181085,,
