Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_Sec_ML_I.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_II.raw	I:\Fadime\250307\250308_-N+C_Sec_ML_III.raw
SPO3166	SPO3166				2.51E+07	1.32E+07	2.51E+07
SPO3167	SPO3167						
SPO3168	SPO3168				6.92E+06	8.38E+06	9.41E+06
SPO3169	SPO3169				7.84E+06	6.84E+06	1.04E+07
SPO3170	SPO3170						
SPO3171	SPO3171						
SPO3172	SPO3172						
SPO3173	SPO3173						
SPO3174	SPO3174						
SPO3175	SPO3175				1.80E+06	1.45E+06	1.73E+06
SPO3176	SPO3176						
SPO3177	SPO3177				3.52E+06	3.59E+06	3.58E+06
SPO3178	SPO3178						
SPO3179	SPO3179						
SPO3180	SPO3180				4.23E+06	6.51E+06	7.23E+06
SPO3181	SPO3181				3.41E+07	3.24E+07	3.18E+07
SPO3182	SPO3182						
SPO3183	SPO3183						6.49E+07
SPO3184	SPO3184						
SPO3185	SPO3185						
SPO3186	SPO3186						
SPO3187	SPO3187						
SPO3188	SPO3188						
SPO3189	SPO3189						
SPO3190	SPO3190						
SPO3191	SPO3191						
SPO3192	SPO3192						
SPO3193	SPO3193						
SPO3194	SPO3194				1.82E+07	1.94E+07	1.89E+07
SPO3195	SPO3195				1.66E+06		
SPO3196	SPO3196						
SPO3197	SPO3197						
SPO3198	SPO3198				7.12E+06	7.31E+06	5.38E+06
SPO3199	SPO3199						
SPO3200	SPO3200						
SPO3201	SPO3201				1.31E+07	1.20E+07	1.25E+07
SPO3202	SPO3202						
SPO3203	SPO3203						2.98E+06
SPO3204	SPO3204				8.21E+06	6.83E+06	6.65E+06
SPO3205	SPO3205						
SPO3206	SPO3206				1.50E+07	1.62E+07	1.79E+07
SPO3207	SPO3207				1.88E+07	4.75E+06	3.99E+06
SPO3208	SPO3208						
SPO3209	SPO3209						
SPO3211	SPO3211						1.84E+06
SPO3212	SPO3212					3.36E+06	
SPO3213	SPO3213						
SPO3216	SPO3216				2.88E+06	4.93E+06	
SPO3217	SPO3217				1.86E+06	2.45E+06	1.72E+06
SPO3218	SPO3218						
SPO3219	SPO3219				2.52E+06	2.13E+06	2.65E+06
SPO3220	SPO3220				2.62E+07	2.49E+07	2.16E+07
SPO3221	SPO3221						
SPO3222	SPO3222						
SPO3223	SPO3223						
SPO3224	SPO3224						
SPO3225	SPO3225						
SPO3226	SPO3226				1.34E+07	1.24E+07	1.77E+07
SPO3227	SPO3227						
SPO3228	SPO3228					4.29E+07	
SPO3229	SPO3229						
SPO3230	SPO3230				1.84E+06		1.57E+06
SPO3231	SPO3231						
SPO3232	SPO3232						
SPO3233	SPO3233						
SPO3234	SPO3234						
SPO3236	SPO3236						
SPO3237	SPO3237						
SPO3238	SPO3238						
SPO3240	SPO3240					3.37E+07	
SPO3241	SPO3241						
SPO3242	SPO3242				3.84E+06		
SPO3243	SPO3243				1.86E+06	2.85E+06	5.71E+06
SPO3244	SPO3244						
SPO3245	SPO3245				7.22E+06	5.99E+06	5.50E+06
SPO3246	SPO3246				8.96E+06	6.66E+06	7.19E+06
SPO3247	SPO3247						
SPO3248	SPO3248					1.19E+06	
SPO3249	SPO3249				1.32E+07	7.44E+06	
SPO3250	SPO3250						
SPO3251	SPO3251						
SPO3252	SPO3252						
SPO3253	SPO3253				1.80E+07	2.87E+07	2.45E+07
SPO3254	SPO3254						5.52E+07
SPO3255	SPO3255						
SPO3256	SPO3256				2.00E+07	2.72E+07	2.34E+07
SPO3257	SPO3257				1.39E+07	1.57E+07	1.14E+07
SPO3258	SPO3258				4.38E+06	1.22E+06	
SPO3259	SPO3259						
SPO3260	SPO3260					2.02E+06	
SPO3261	SPO3261						
SPO3262	SPO3262						
SPO3270	SPO3270						
SPO3271	SPO3271					5.37E+06	1.14E+07
SPO3272	SPO3272						
SPO3273	SPO3273						
SPO3274	SPO3274						
SPO3275	SPO3275						
SPO3276	SPO3276				1.44E+08	7.26E+07	1.36E+08
SPO3277	SPO3277						
SPO3278	SPO3278				7.62E+06	5.04E+06	8.17E+06
SPO3279	SPO3279						
SPO3280	SPO3280						
SPO3281	SPO3281						
SPO3282	SPO3282						
SPO3284	SPO3284						
SPO3286	SPO3286						
SPO3287	SPO3287				6.41E+07	6.34E+07	5.94E+07
SPO3288	SPO3288						
SPO3289	SPO3289						
SPO3290	SPO3290					3.59E+07	
SPO3291	SPO3291						
SPO3292	SPO3292						
SPO3293	SPO3293						
SPO3295	SPO3295						
SPO3296	SPO3296						
SPO3297	SPO3297						
SPO3298	SPO3298						
SPO3299	SPO3299						
SPO3300	SPO3300						
SPO3301	SPO3301						
SPO3302	SPO3302				5.79E+06	4.57E+06	5.71E+06
SPO3303	SPO3303						
SPO3304	SPO3304				2.95E+06	2.73E+06	2.56E+06
SPO3305	SPO3305						
SPO3306	SPO3306						2.40E+06
SPO3307	SPO3307				1.01E+07	1.42E+07	1.12E+07
SPO3309	SPO3309				1.76E+06	1.33E+06	
SPO3310	SPO3310						
SPO3311	SPO3311						
SPO3312	SPO3312						
SPO3313	SPO3313						
SPO3314	SPO3314				5.72E+06	5.54E+06	1.26E+07
SPO3315	SPO3315						
SPO3316	SPO3316						
SPO3316a	SPO3316a						
SPO3317	SPO3317						
SPO3318	SPO3318				5.65E+06	8.52E+06	7.20E+06
SPO3319	SPO3319						
SPO3320	SPO3320						
SPO3321	SPO3321						
SPO3322	SPO3322						1.40E+06
SPO3323	SPO3323						
SPO3324	SPO3324						8.16E+07
SPO3325	SPO3325				4.59E+06	6.01E+06	4.35E+06
SPO3326	SPO3326				8.86E+07	1.17E+07	5.69E+06
SPO3327	SPO3327						
SPO3328	SPO3328				6.06E+06	7.00E+06	7.89E+06
SPO3329	SPO3329						
SPO3330	SPO3330				1.91E+06	2.57E+06	1.08E+06
SPO3331	SPO3331						
SPO3332	SPO3332				4.46E+06	4.17E+06	
SPO3333	SPO3333						
SPO3334	SPO3334						
SPO3335	SPO3335						
SPO3336	SPO3336						
SPO3337	SPO3337				1.67E+07	1.67E+07	1.79E+07
SPO3338	SPO3338					2.06E+07	2.04E+07
SPO3339	SPO3339						
SPO3340	SPO3340						
SPO3341	SPO3341				9.76E+06	6.94E+06	9.03E+06
SPO3342	SPO3342				4.84E+06	5.24E+06	5.98E+06
SPO3343	SPO3343						
SPO3344	SPO3344						
SPO3346	SPO3346					1.19E+08	
SPO3347	SPO3347				6.58E+06	8.37E+06	3.95E+06
SPO3348	SPO3348				8.22E+07	7.70E+07	6.34E+07
SPO3349	SPO3349				2.41E+06	1.96E+06	
SPO3350	SPO3350					4.51E+06	
SPO3351	SPO3351						
SPO3352	SPO3352						
SPO3353	SPO3353				7.04E+06	6.28E+06	7.15E+06
SPO3354	SPO3354				6.50E+07	6.79E+07	6.65E+07
SPO3355	SPO3355				6.37E+07	6.53E+07	7.38E+07
SPO3357	SPO3357						
SPO3358	SPO3358						
SPO3359	SPO3359				5.83E+06	4.29E+06	3.34E+06
SPO3360	SPO3360				7.82E+06	7.19E+06	7.85E+06
SPO3361	SPO3361					1.80E+06	
SPO3362	SPO3362						
SPO3363	SPO3363						
SPO3364	SPO3364						
SPO3365	SPO3365						
SPO3366	SPO3366				1.05E+07	1.18E+07	1.34E+07
SPO3367	SPO3367				2.52E+06	1.17E+06	1.21E+06
SPO3368	SPO3368				4.25E+06	1.20E+07	3.26E+06
SPO3369	SPO3369						
SPO3370	SPO3370					5.43E+06	3.97E+06
SPO3371	SPO3371				1.27E+07	4.49E+06	2.53E+06
SPO3372	SPO3372				1.06E+07	1.40E+07	7.51E+06
SPO3373	SPO3373						
SPO3374	SPO3374				2.17E+07	2.11E+07	1.93E+07
SPO3375	SPO3375						
SPO3376	SPO3376					4.10E+06	1.66E+06
SPO3377	SPO3377						
SPO3379	SPO3379						
SPO3380	SPO3380						
SPO3382	SPO3382				1.16E+07	9.72E+06	1.30E+07
SPO3383	SPO3383				7.28E+07	7.69E+07	8.23E+07
SPO3384	SPO3384						
SPO3385	SPO3385						
SPO3387	SPO3387						
SPO3388	SPO3388						
SPO3389	SPO3389				3.58E+07	3.67E+07	4.18E+07
SPO3390	SPO3390						
SPO3391	SPO3391						
SPO3392	SPO3392						911805
SPO3393	SPO3393					3.21E+06	
SPO3394	SPO3394						
SPO3395	SPO3395						
SPO3396	SPO3396						
SPO3398	SPO3398						
SPO3399	SPO3399						
SPO3400	SPO3400					5.43E+07	
SPO3401	SPO3401						
SPO3403	SPO3403						
SPO3405	SPO3405						
SPO3406	SPO3406						
SPO3408	SPO3408				6.42E+06	7.32E+06	5.70E+06
SPO3409	SPO3409						
SPO3410	SPO3410						
SPO3411	SPO3411				3.48E+06		2.66E+06
SPO3412	SPO3412						
SPO3413	SPO3413						
SPO3414	SPO3414				1.69E+07	2.80E+06	
SPO3415	SPO3415				1.76E+07	1.68E+07	1.97E+07
SPO3416	SPO3416				2.90E+06	4.13E+06	
SPO3417	SPO3417				8.45E+06	4.09E+06	7.37E+06
SPO3418	SPO3418						2.63E+06
SPO3419	SPO3419						1.32E+06
SPO3420	SPO3420						
SPO3421	SPO3421						
SPO3422	SPO3422						
SPO3423	SPO3423				1.34E+07	1.23E+07	1.11E+07
SPO3424	SPO3424						
SPO3425	SPO3425				5.57E+06	6.20E+06	4.81E+06
SPO3426	SPO3426				4.96E+06	5.50E+06	1.91E+06
SPO3427	SPO3427				2.24E+06		
SPO3428	SPO3428						
SPO3429	SPO3429				3.65E+06	2.58E+06	3.95E+06
SPO3430	SPO3430				1.27E+08	9.97E+07	1.21E+08
SPO3431	SPO3431				5.28E+06	5.44E+06	6.41E+06
SPO3432	SPO3432				1.31E+07	1.05E+07	1.41E+07
SPO3433	SPO3433				505898		
SPO3434	SPO3434						
SPO3435	SPO3435				1.22E+07	1.38E+07	1.36E+07
SPO3436	SPO3436						
SPO3437	SPO3437						
SPO3438	SPO3438						
SPO3439	SPO3439						
SPO3440	SPO3440				8.32E+06	1.23E+07	8.34E+06
SPO3441	SPO3441				4.98E+06	7.07E+06	6.28E+06
SPO3442	SPO3442				6.66E+06	8.18E+06	7.18E+06
SPO3443	SPO3443						
SPO3444	SPO3444						
SPO3445	SPO3445						
SPO3446	SPO3446				6.75E+07	6.01E+07	6.61E+07
SPO3447	SPO3447					2.09E+06	
SPO3448	SPO3448						
SPO3449	SPO3449						
SPO3450	SPO3450						
SPO3451	SPO3451						
SPO3452	SPO3452						
SPO3452a	SPO3452a				6.30E+07	2.97E+07	2.73E+07
SPO3453	SPO3453				1.97E+07	1.56E+07	2.12E+07
SPO3454	SPO3454						
SPO3455	SPO3455						7.13E+07
SPO3456	SPO3456						
SPO3458	SPO3458						
SPO3459	SPO3459						
SPO3460	SPO3460				8.91E+06	1.24E+07	
SPO3462	SPO3462						
SPO3463	SPO3463						
SPO3464	SPO3464						
SPO3465	SPO3465						
SPO3466	SPO3466						
SPO3467	SPO3467						
SPO3468	SPO3468						
SPO3469	SPO3469				3.10E+07	2.88E+07	2.80E+07
SPO3470	SPO3470						
SPO3471	SPO3471				1.24E+07	1.32E+07	1.02E+07
SPO3472	SPO3472						
SPO3473	SPO3473				1.82E+08	1.36E+08	1.61E+08
SPO3474	SPO3474						
SPO3475	SPO3475						
SPO3476	SPO3476						
SPO3477	SPO3477						
SPO3478	SPO3478						
SPO3479	SPO3479						
SPO3480	SPO3480						
SPO3481	SPO3481						
SPO3482	SPO3482						
SPO3483	SPO3483						1.54E+07
SPO3484	SPO3484						
SPO3485	SPO3485						
SPO3486	SPO3486						
SPO3487	SPO3487						
SPO3488	SPO3488				6.04E+06	4.78E+06	5.31E+06
SPO3489	SPO3489				7.03E+06	5.74E+06	5.68E+06
SPO3490	SPO3490						
SPO3491	SPO3491						
SPO3492	SPO3492				3.99E+06	3.85E+06	4.84E+06
SPO3494	SPO3494						
SPO3495	SPO3495						
SPO3496	SPO3496						
SPO3498a	SPO3498a						
SPO3499	SPO3499				6.93E+07	6.72E+07	7.10E+07
SPO3500	SPO3500				4.34E+07	4.96E+07	4.23E+07
SPO3501	SPO3501				4.30E+07	4.95E+07	3.98E+07
SPO3502	SPO3502				6.89E+06		
SPO3503	SPO3503						
SPO3505	SPO3505						
SPO3506	SPO3506						
SPO3507	SPO3507				2.43E+07	2.53E+07	2.53E+07
SPO3508	SPO3508				2.13E+07	2.15E+07	2.19E+07
SPO3509	SPO3509				1.23E+08	1.43E+08	1.27E+08
SPO3510	SPO3510				1.26E+07	1.52E+07	1.08E+07
SPO3511	SPO3511						
SPO3512	SPO3512						
SPO3513	SPO3513				5.06E+07	6.46E+07	4.83E+07
SPO3514	SPO3514				3.51E+07	3.73E+07	3.06E+07
SPO3516	SPO3516				3.25E+07	2.49E+07	2.81E+07
SPO3517	SPO3517						
SPO3518	SPO3518						
SPO3520	SPO3520						
SPO3521	SPO3521						
SPO3522	SPO3522				2.89E+06		
SPO3523	SPO3523						
SPO3524	SPO3524						
SPO3525	SPO3525				2.26E+07		
SPO3526	SPO3526						
SPO3527	SPO3527				6.63E+06		8.77E+06
SPO3529	SPO3529				1.36E+06		
SPO3530	SPO3530						
SPO3531	SPO3531				1.48E+06	703216	837391
SPO3532	SPO3532				6.72E+06	6.15E+06	
SPO3533	SPO3533					1.37E+08	
SPO3534	SPO3534						
SPO3535	SPO3535						
SPO3536	SPO3536						
SPO3537	SPO3537				7.07E+06	6.82E+06	5.88E+06
SPO3538	SPO3538				1.29E+07	1.12E+07	7.60E+06
SPO3539	SPO3539						
SPO3540	SPO3540					1.61E+06	
SPO3541	SPO3541						
SPO3542	SPO3542					1.24E+06	
SPO3543	SPO3543						
SPO3544	SPO3544						
SPO3545	SPO3545						
SPO3546	SPO3546						
SPO3547	SPO3547						
SPO3548	SPO3548						
SPO3550	SPO3550					8.53E+06	
SPO3551	SPO3551						
SPO3552	SPO3552				3.24E+06		
SPO3553	SPO3553						5.03E+06
SPO3554	SPO3554						
SPO3555	SPO3555					3.83E+06	1.43E+07
SPO3556	SPO3556				9.83E+06	8.62E+06	8.21E+06
SPO3557	SPO3557						
SPO3558	SPO3558						
SPO3559	SPO3559				5.04E+07		
SPO3560	SPO3560						
SPO3561	SPO3561						
SPO3562	SPO3562						
SPO3563	SPO3563						
SPO3564	SPO3564						
SPO3565	SPO3565						8.34E+07
SPO3566	SPO3566				2.31E+07	2.29E+07	2.39E+07
SPO3567	SPO3567				6.94E+06	5.33E+06	5.61E+06
SPO3568	SPO3568				6.25E+07	5.14E+07	5.02E+07
SPO3569	SPO3569				774157		
SPO3570	SPO3570				1.13E+07	1.47E+07	1.05E+07
SPO3571	SPO3571						
SPO3572	SPO3572						
SPO3573	SPO3573				9.24E+06	9.32E+06	9.31E+06
SPO3574	SPO3574						
SPO3575	SPO3575						
SPO3576	SPO3576				1.87E+07	1.23E+07	1.57E+07
SPO3577	SPO3577						
SPO3578	SPO3578						
SPO3579	SPO3579						
SPO3580	SPO3580						
SPO3581	SPO3581				2.75E+06	1.83E+06	2.51E+06
SPO3582	SPO3582				8.22E+06	7.33E+06	7.94E+06
SPO3583	SPO3583						
SPO3584	SPO3584						
SPO3585	SPO3585				2.13E+06	2.14E+06	3.25E+06
SPO3586	SPO3586				5.40E+06	4.72E+06	8.44E+06
SPO3587	SPO3587						
SPO3590	SPO3590						
SPO3591	SPO3591						
SPO3592	SPO3592						
SPO3593	SPO3593				1.07E+09	1.52E+07	1.56E+06
SPO3594	SPO3594				5.68E+06	6.09E+06	3.19E+06
SPO3595	SPO3595						
SPO3596	SPO3596						
SPO3597	SPO3597				530392		
SPO3598	SPO3598				1.51E+07	2.02E+07	1.82E+07
SPO3599	SPO3599				1.69E+07	2.50E+07	1.68E+07
SPO3600	SPO3600				1.61E+07	1.96E+07	1.77E+07
SPO3601	SPO3601					2.90E+06	2.94E+06
SPO3602	SPO3602						
SPO3603	SPO3603						
SPO3604	SPO3604				3.02E+07	3.24E+07	3.53E+07
SPO3605	SPO3605						6.45E+08
SPO3606	SPO3606				9.64E+06	9.52E+06	8.53E+06
SPO3607	SPO3607				8.77E+06	5.92E+06	9.71E+06
SPO3608	SPO3608				7.63E+06	9.54E+06	7.35E+06
SPO3609	SPO3609						
SPO3610	SPO3610						
SPO3611	SPO3611				7.50E+07	5.75E+07	7.46E+07
SPO3612	SPO3612						
SPO3615	SPO3615					2.49E+06	
SPO3616	SPO3616				7.36E+06	9.86E+06	7.74E+06
SPO3617	SPO3617				3.99E+07	3.36E+07	3.70E+07
SPO3618	SPO3618						
SPO3619	SPO3619						
SPO3620	SPO3620				4.32E+07	3.41E+07	4.26E+07
SPO3621	SPO3621						
SPO3622	SPO3622						
SPO3623	SPO3623				9.70E+06	1.46E+07	1.10E+07
SPO3625	SPO3625				7.64E+06	4.87E+06	1.74E+07
SPO3626	SPO3626				7.86E+06	7.98E+06	8.18E+06
SPO3627	SPO3627						
SPO3628	SPO3628				3.76E+09	4.99E+09	3.65E+09
SPO3629	SPO3629				1.15E+08	3.91E+06	4.05E+06
SPO3630	SPO3630						
SPO3631	SPO3631				3.14E+06		1.54E+06
SPO3632	SPO3632						
SPO3633	SPO3633						2.32E+06
SPO3634	SPO3634					576224	
SPO3635	SPO3635						
SPO3636	SPO3636						
SPO3637	SPO3637				7.63E+06		
SPO3638	SPO3638					4.46E+06	
SPO3639	SPO3639						
SPO3640	SPO3640						
SPO3642	SPO3642						
SPO3644	SPO3644						
SPO3645	SPO3645						
SPO3646	SPO3646						
SPO3647	SPO3647				3.00E+06	1.44E+06	3.45E+06
SPO3648	SPO3648				1.30E+07	4.62E+06	7.70E+06
SPO3649	SPO3649				4.67E+06	7.30E+06	3.43E+06
SPO3650	SPO3650						
SPO3651	SPO3651						
SPO3652	SPO3652				5.22E+06	2.78E+06	2.68E+06
SPO3653	SPO3653					4.93E+06	
SPO3654	SPO3654				7.65E+06	4.38E+06	6.07E+06
SPO3655	SPO3655					2.26E+06	1.31E+06
SPO3656	SPO3656				903339		1.27E+06
SPO3657	SPO3657						
SPO3658	SPO3658				1.00E+07	5.14E+06	9.98E+06
SPO3659	SPO3659						2.76E+06
SPO3660	SPO3660						
SPO3661	SPO3661						
SPO3662	SPO3662						
SPO3663	SPO3663						
SPO3664	SPO3664						
SPO3665	SPO3665				1.10E+07	1.06E+07	1.01E+07
SPO3666	SPO3666						
SPO3667	SPO3667						
SPO3668	SPO3668						
SPO3671	SPO3671						
SPO3672	SPO3672				2.84E+06		2.17E+06
SPO3673	SPO3673				1.14E+09	1.13E+09	1.12E+09
SPO3673a	SPO3673a						
SPO3675	SPO3675						
SPO3676	SPO3676						
SPO3677	SPO3677						
SPO3678	SPO3678						
SPO3679	SPO3679						
SPO3680	SPO3680						
SPO3681	SPO3681						
SPO3682	SPO3682						
SPO3684	SPO3684				1.21E+07	8.94E+06	9.80E+06
SPO3685	SPO3685						
SPO3686	SPO3686						2.17E+06
SPO3687	SPO3687					2.29E+08	
SPO3688	SPO3688						
SPO3689	SPO3689						
SPO3690	SPO3690						
SPO3691	SPO3691				7.61E+06	1.08E+07	1.12E+07
SPO3692	SPO3692				9.51E+06		1.60E+06
SPO3693	SPO3693				1.24E+07	6.63E+06	7.67E+06
SPO3694	SPO3694						
SPO3695	SPO3695						
SPO3696	SPO3696						
SPO3697	SPO3697						
SPO3698	SPO3698						
SPO3699	SPO3699						
SPO3700	SPO3700						
SPO3701	SPO3701				2.45E+06	1.21E+07	1.92E+06
SPO3703	SPO3703						
SPO3704	SPO3704						
SPO3705	SPO3705						
SPO3706	SPO3706						
SPO3707	SPO3707						
SPO3708	SPO3708						
SPO3709	SPO3709					994432	
SPO3710	SPO3710						
SPO3711	SPO3711						
SPO3712	SPO3712				3.61E+07	4.18E+07	3.41E+07
SPO3713	SPO3713				949032	1.41E+06	1.47E+06
SPO3714	SPO3714						
SPO3715	SPO3715				1.84E+07	1.54E+07	1.71E+07
SPO3716	SPO3716						
SPO3717	SPO3717				2.08E+06	3.84E+06	6.23E+06
SPO3718	SPO3718						
SPO3719	SPO3719				1.22E+07	1.22E+07	1.12E+07
SPO3720	SPO3720				3.79E+07	3.85E+07	3.41E+07
SPO3722	SPO3722						
SPO3723	SPO3723						
SPO3724	SPO3724						
SPO3725	SPO3725						
SPO3726	SPO3726				2.15E+08	1.55E+08	1.85E+08
SPO3727	SPO3727						
SPO3728	SPO3728					4.02E+07	
SPO3729	SPO3729						
SPO3730	SPO3730				4.38E+06	3.97E+06	5.02E+06
SPO3731	SPO3731					5.93E+06	
SPO3732	SPO3732						
SPO3733	SPO3733					1.77E+06	709277
SPO3734	SPO3734						
SPO3735	SPO3735						
SPO3736	SPO3736				8.38E+06	9.71E+06	6.71E+06
SPO3737	SPO3737				7.47E+06	9.17E+06	8.23E+06
SPO3738	SPO3738						
SPO3739	SPO3739						
SPO3740	SPO3740				3.69E+06	5.41E+06	5.46E+06
SPO3741	SPO3741						
SPO3742	SPO3742						
SPO3744	SPO3744				8.96E+07	1.25E+08	1.11E+08
SPO3745	SPO3745				1.91E+07	6.16E+06	1.82E+07
SPO3746	SPO3746				7.98E+06	5.47E+06	5.73E+06
SPO3747	SPO3747						
SPO3748	SPO3748						
SPO3749	SPO3749						
SPO3751	SPO3751						
SPO3752	SPO3752						
SPO3753	SPO3753						
SPO3754	SPO3754						
SPO3755	SPO3755					1.66E+06	6.73E+06
SPO3756	SPO3756						
SPO3757	SPO3757				5.92E+06	6.51E+06	5.53E+06
SPO3758	SPO3758						
SPO3759	SPO3759				8.68E+06	7.46E+06	7.04E+06
SPO3760	SPO3760						
SPO3761	SPO3761				7.33E+06	8.01E+06	8.37E+06
SPO3762	SPO3762				1.14E+07	1.53E+07	9.77E+06
SPO3763	SPO3763						
SPO3764	SPO3764						1.28E+06
SPO3765	SPO3765						
SPO3766	SPO3766						
SPO3768	SPO3768				4.16E+06	8.95E+06	8.49E+06
SPO3769	SPO3769						
SPO3770	SPO3770				5.44E+06	7.58E+06	1.14E+07
SPO3771	SPO3771						
SPO3772	SPO3772				5.58E+06	6.94E+06	5.96E+06
SPO3774	SPO3774				6.61E+07	6.53E+07	7.08E+07
SPO3775	SPO3775						
SPO3776	SPO3776						
SPO3777	SPO3777						
SPO3778	SPO3778						
SPO3779	SPO3779						
SPO3780	SPO3780						
SPO3781	SPO3781						
SPO3782	SPO3782						
SPO3783	SPO3783						
SPO3784	SPO3784						
SPO3785	SPO3785						
SPO3786	SPO3786						
SPO3787	SPO3787						
SPO3788	SPO3788					1.41E+07	
SPO3789	SPO3789						
SPO3790	SPO3790						
SPO3791	SPO3791				2.87E+09		
SPO3792	SPO3792						
SPO3793	SPO3793						
SPO3795	SPO3795						
SPO3802	SPO3802						
SPO3803	SPO3803						
SPO3804	SPO3804				4.62E+07	5.45E+06	3.89E+07
SPO3805	SPO3805				1.68E+07	5.16E+07	8.20E+06
SPO3806	SPO3806						
SPO3807	SPO3807						
SPO3809	SPO3809						
SPO3810	SPO3810				4.82E+06	4.58E+06	3.99E+06
SPO3811	SPO3811						
SPO3812	SPO3812				9.85E+06	7.84E+06	6.86E+06
SPO3813	SPO3813						
SPO3814	SPO3814						
SPO3815	SPO3815						
SPO3816	SPO3816						
SPO3817	SPO3817				7.02E+06	6.39E+06	7.36E+06
SPO3818	SPO3818				5.78E+06	4.29E+06	6.42E+06
SPO3819	SPO3819						
SPO3820	SPO3820						
SPO3821	SPO3821				3.46E+06	4.24E+06	4.51E+06
SPO3822	SPO3822						
SPO3823	SPO3823				1.95E+07	1.66E+07	1.68E+07
SPO3824	SPO3824				4.71E+07	4.10E+07	4.56E+07
SPO3825	SPO3825				3.11E+07	3.01E+07	2.65E+07
SPO3826	SPO3826				2.90E+07	2.72E+07	2.34E+07
SPO3827	SPO3827				1.98E+06		3.68E+06
SPO3828	SPO3828				2.56E+06	744869	
SPO3829	SPO3829						
SPO3830	SPO3830						
SPO3831	SPO3831				9.28E+06		
SPO3832	SPO3832						
SPO3833	SPO3833				1.49E+09		
SPO3834	SPO3834				5.94E+06	6.94E+06	6.48E+06
SPO3835	SPO3835				6.63E+06	7.70E+06	8.38E+06
SPO3836	SPO3836				5.27E+06	7.49E+06	7.45E+06
SPO3837	SPO3837				1.38E+07	1.68E+07	3.60E+06
SPO3838	SPO3838						
SPO3839	SPO3839				5.27E+06	5.95E+06	5.24E+06
SPO3840	SPO3840				3.69E+07	4.50E+07	3.21E+07
SPO3841	SPO3841					1.01E+08	8.16E+07
SPO3842	SPO3842						
SPO3843	SPO3843						
SPO3844	SPO3844				1.82E+07	7.20E+06	5.69E+06
SPO3845	SPO3845						
SPO3846	SPO3846				3.93E+06	1.17E+07	1.02E+07
SPO3847	SPO3847						
SPO3849	SPO3849						
SPO3850	SPO3850				1.36E+07	1.31E+07	1.41E+07
SPO3851	SPO3851				1.17E+07	1.03E+07	8.27E+06
SPO3852	SPO3852						
SPO3853	SPO3853						
SPO3854	SPO3854						5.42E+06
SPO3855	SPO3855						
SPO3856	SPO3856				1.04E+07	1.36E+07	1.10E+07
SPO3857	SPO3857				4.18E+06	4.15E+06	5.95E+06
SPO3859	SPO3859				4.76E+07	4.37E+07	4.01E+07
SPO3860	SPO3860				988352	2.69E+06	6.49E+06
SPO3861	SPO3861				1.34E+07	1.45E+07	1.93E+07
SPO3863	SPO3863						
SPO3864	SPO3864						
SPO3865	SPO3865				8.88E+06	7.60E+06	1.00E+07
SPO3866	SPO3866				2.83E+06		
SPO3867	SPO3867						
SPO3868	SPO3868						
SPO3869	SPO3869						
SPO3870	SPO3870				1.78E+08		1.20E+10
SPO3871	SPO3871					2.70E+06	2.10E+07
SPO3872	SPO3872						
SPO3873	SPO3873						
SPO3874	SPO3874				2.72E+07	2.80E+07	3.75E+07
SPO3875	SPO3875						
SPO3876	SPO3876						
SPO3877	SPO3877						
SPO3878	SPO3878				8.49E+06		
SPO3879	SPO3879						
SPO3880	SPO3880				8.85E+06	8.36E+06	1.03E+07
SPO3881	SPO3881				7.73E+06	6.59E+06	7.09E+06
SPO3882	SPO3882				3.56E+07	4.10E+07	2.76E+07
SPO3883	SPO3883						
SPO3884	SPO3884						
SPO3885	SPO3885						
SPO3886	SPO3886				6.65E+06	7.91E+06	7.15E+06
SPO3887	SPO3887						
SPO3888	SPO3888				6.04E+07	5.59E+07	7.64E+07
SPO3889	SPO3889					1.33E+07	
SPO3890	SPO3890						2.26E+06
SPO3891	SPO3891				5.07E+06	5.55E+06	3.01E+06
SPO3892	SPO3892						
SPO3893	SPO3893						
SPO3894	SPO3894				1.15E+07	1.37E+07	1.24E+07
SPO3895	SPO3895						
SPO3896	SPO3896						
SPO3898	SPO3898						
SPO3899	SPO3899						
SPO3900	SPO3900						
SPO3901	SPO3901						
SPO3902	SPO3902						
SPO3903	SPO3903						
SPO3904	SPO3904						
SPOA0001	SPOA0001						
SPOA0002	SPOA0002						
SPOA0003	SPOA0003				3.69E+06	2.49E+06	
SPOA0004	SPOA0004				6.68E+06	6.11E+06	7.37E+06
SPOA0005	SPOA0005						
SPOA0006	SPOA0006				1.21E+06	3.57E+06	3.64E+06
SPOA0008	SPOA0008						
SPOA0009	SPOA0009						
SPOA0010	SPOA0010						
SPOA0011	SPOA0011				2.65E+07	2.45E+07	2.71E+07
SPOA0012	SPOA0012						
SPOA0013	SPOA0013						
SPOA0014	SPOA0014						
SPOA0015	SPOA0015				1.45E+07	1.33E+07	1.38E+07
SPOA0017	SPOA0017				8.26E+06	8.06E+06	7.10E+06
SPOA0018	SPOA0018						
SPOA0020	SPOA0020						
SPOA0021	SPOA0021						
SPOA0022	SPOA0022						
SPOA0023	SPOA0023						
SPOA0024	SPOA0024						
SPOA0025	SPOA0025				2.74E+06	3.08E+06	3.23E+06
SPOA0026	SPOA0026						
