Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO1166	SPO1166				7.43E+06	7.14E+06	6.99E+06
SPO1171	SPO1171				4.66E+07	4.70E+07	4.90E+07
SPO1172	SPO1172				6.10E+06	6.10E+06	5.87E+06
SPO1173	SPO1173				116037	82812.6	88165.3
SPO1174	SPO1174				3.14E+06	3.10E+06	3.17E+06
SPO1176	SPO1176				1.26E+06	1.05E+06	930942
SPO1177	SPO1177				2.25E+06	2.35E+06	2.35E+06
SPO1178	SPO1178				1.02E+07	1.04E+07	9.33E+06
SPO1179	SPO1179				2.77E+06	2.69E+06	2.60E+06
SPO1180	SPO1180				2.24E+06	2.19E+06	2.26E+06
SPO1181	SPO1181				1.72E+06	1.73E+06	1.81E+06
SPO1182	SPO1182				3.60E+06	3.55E+06	3.79E+06
SPO1183	SPO1183				3.45E+06	3.65E+06	3.71E+06
SPO1184	SPO1184				1.29E+06	1.00E+06	919477
SPO1185	SPO1185				1.23E+06	1.14E+06	1.12E+06
SPO1186	SPO1186				1.22E+06	1.11E+06	1.18E+06
SPO1187	SPO1187				1.18E+06	1.14E+06	1.18E+06
SPO1188	SPO1188				1.89E+06	1.89E+06	1.99E+06
SPO1190	SPO1190				338687	375674	336358
SPO1191	SPO1191				991161	936515	967040
SPO1192	SPO1192				481605	425757	423497
SPO1193	SPO1193				49601.8	42971.3	59728.9
SPO1194	SPO1194				1.50E+06	1.47E+06	1.63E+06
SPO1195	SPO1195				8.62E+06	8.70E+06	8.83E+06
SPO1196	SPO1196				2.03E+07	1.99E+07	1.92E+07
SPO1197	SPO1197				658242	642835	516483
SPO1198	SPO1198				257265	221244	178211
SPO1200	SPO1200				2.14E+06	2.32E+06	2.26E+06
SPO1201	SPO1201				9.57E+06	9.60E+06	9.60E+06
SPO1202	SPO1202				1.84E+06	1.88E+06	1.85E+06
SPO1203	SPO1203				4.35E+06	4.26E+06	4.66E+06
SPO1204	SPO1204				2.06E+07	2.10E+07	2.15E+07
SPO1205	SPO1205				2.34E+06	2.25E+06	2.23E+06
SPO1206	SPO1206				4.60E+06	4.28E+06	4.27E+06
SPO1207	SPO1207				4.26E+06	4.19E+06	4.37E+06
SPO1208	SPO1208				603334	613374	594893
SPO1209	SPO1209				2.76E+06	2.91E+06	2.76E+06
SPO1210	SPO1210				2.64E+06	2.57E+06	2.58E+06
SPO1211	SPO1211				345039	329634	385653
SPO1212	SPO1212				2.25E+06	2.14E+06	2.07E+06
SPO1213	SPO1213				2.11E+06	1.95E+06	1.96E+06
SPO1214	SPO1214				6.28E+06	6.65E+06	6.50E+06
SPO1215	SPO1215				2.84E+06	2.80E+06	2.84E+06
SPO1217	SPO1217				219278	179914	200961
SPO1218	SPO1218				271827	265196	244458
SPO1219	SPO1219				815597	681870	691961
SPO1220	SPO1220				1.85E+06	1.59E+06	1.60E+06
SPO1221	SPO1221				2.71E+06	2.50E+06	2.63E+06
SPO1226	SPO1226				473507	479483	461140
SPO1226a	SPO1226a				714435	677621	693002
SPO1228	SPO1228				205024	180504	158453
SPO1229	SPO1229				111500	100276	99406.1
SPO1230	SPO1230				367731	341089	356807
SPO1232	SPO1232				188752	204498	198554
SPO1233	SPO1233				250959	266912	237459
SPO1234	SPO1234				2.43E+06	2.53E+06	2.66E+06
SPO1235	SPO1235				1.65E+06	1.53E+06	1.52E+06
SPO1236	SPO1236				2.12E+06	1.91E+06	2.02E+06
SPO1237	SPO1237				1.31E+06	1.23E+06	1.21E+06
SPO1239	SPO1239				1.27E+07	1.38E+07	1.40E+07
SPO1240	SPO1240				3.24E+07	3.37E+07	3.27E+07
SPO1241	SPO1241				4.85E+06	5.49E+06	5.86E+06
SPO1242	SPO1242				1.58E+06	1.61E+06	1.52E+06
SPO1243	SPO1243				6.81E+06	6.78E+06	7.33E+06
SPO1244	SPO1244				3.19E+07	3.03E+07	3.30E+07
SPO1245	SPO1245				926750	770130	720730
SPO1246	SPO1246				2.85E+06	2.89E+06	2.80E+06
SPO1247	SPO1247				1.31E+06	1.28E+06	1.36E+06
SPO1249	SPO1249				1.01E+06	850809	932152
SPO1250	SPO1250				2.35E+06	2.50E+06	2.64E+06
SPO1251	SPO1251				912096	837964	859192
SPO1252	SPO1252				166551	181203	159781
SPO1252a	SPO1252a				2.38E+06	2.25E+06	2.27E+06
SPO1253	SPO1253				7.93E+06	7.67E+06	8.05E+06
SPO1254	SPO1254				1.54E+06	1.61E+06	1.77E+06
SPO1255	SPO1255				7.77E+06	8.65E+06	8.33E+06
SPO1256	SPO1256				3.53E+06	3.46E+06	2.84E+06
SPO1257	SPO1257				4.59E+06	4.83E+06	4.33E+06
SPO1258	SPO1258				2.07E+06	2.00E+06	2.00E+06
SPO1259	SPO1259				2.32E+06	2.33E+06	2.33E+06
SPO1260	SPO1260				236715	186137	213728
SPO1261	SPO1261				201395	155936	189629
SPO1263	SPO1263				7.09E+06	6.94E+06	6.80E+06
SPO1264	SPO1264				6.49E+06	6.49E+06	6.76E+06
SPO1265	SPO1265				2.17E+07	2.03E+07	2.02E+07
SPO1266	SPO1266				1.06E+06	1.10E+06	1.02E+06
SPO1267	SPO1267				39900.6	66314.8	37817.7
SPO1268	SPO1268				131401	112186	115856
SPO1269	SPO1269				186105	190486	151210
SPO1270	SPO1270				3.53E+06	3.19E+06	2.40E+06
SPO1271	SPO1271				1.82E+06	1.76E+06	1.63E+06
SPO1272	SPO1272				1.01E+07	1.02E+07	1.13E+07
SPO1273	SPO1273				1.25E+07	1.27E+07	1.32E+07
SPO1274	SPO1274				843153	878877	889788
SPO1275	SPO1275				1.15E+08	1.19E+08	1.16E+08
SPO1276	SPO1276				3.11E+06	3.32E+06	3.10E+06
SPO1278	SPO1278				727764	793852	719096
SPO1279	SPO1279				592788	572755	573623
SPO1280	SPO1280				112446	117736	105543
SPO1281	SPO1281				1.92E+06	1.57E+06	1.94E+06
SPO1282	SPO1282				9.95E+06	9.52E+06	9.42E+06
SPO1283	SPO1283				2.01E+06	1.88E+06	1.78E+06
SPO1284	SPO1284				1.43E+06	1.35E+06	1.46E+06
SPO1285	SPO1285				2.98E+06	3.12E+06	3.23E+06
SPO1286	SPO1286				788043	720819	745623
SPO1287	SPO1287				390174	266856	333733
SPO1288	SPO1288				706028	648367	658305
SPO1289	SPO1289				1.35E+06	1.37E+06	1.21E+06
SPO1290	SPO1290				1.58E+06	1.70E+06	1.68E+06
SPO1291	SPO1291				1.15E+07	1.09E+07	1.10E+07
SPO1292	SPO1292				6.85E+06	6.49E+06	6.52E+06
SPO1293	SPO1293				1.48E+08	1.05E+08	1.32E+08
SPO1294	SPO1294				5.35E+06	5.10E+06	5.31E+06
SPO1295	SPO1295				3.65E+06	3.17E+06	3.33E+06
SPO1298	SPO1298				295879	276729	287604
SPO1299	SPO1299				236680	240004	235433
SPO1300	SPO1300				6.23E+06	6.05E+06	6.39E+06
SPO1301	SPO1301				1.73E+06	1.51E+06	1.62E+06
SPO1302	SPO1302				3.18E+06	3.12E+06	3.37E+06
SPO1303	SPO1303				1.55E+06	1.42E+06	1.44E+06
SPO1304	SPO1304				652888	635828	599783
SPO1305	SPO1305				1.61E+06	1.44E+06	1.45E+06
SPO1306	SPO1306				7.29E+06	6.98E+06	8.37E+06
SPO1307	SPO1307				3.59E+06	3.58E+06	3.62E+06
SPO1308	SPO1308				1.15E+06	1.15E+06	1.03E+06
SPO1309	SPO1309				1.95E+06	1.67E+06	1.73E+06
SPO1310	SPO1310				3.77E+06	3.14E+06	3.73E+06
SPO1310a	SPO1310a				1.22E+07	1.19E+07	1.07E+07
SPO1311	SPO1311				1.68E+06	1.72E+06	1.60E+06
SPO1312	SPO1312				9.89E+06	9.71E+06	1.01E+07
SPO1313	SPO1313				1.53E+06	1.79E+06	1.96E+06
SPO1314	SPO1314				1.29E+07	1.38E+07	1.37E+07
SPO1315	SPO1315				1.84E+07	1.78E+07	1.83E+07
SPO1316	SPO1316				1.24E+06	1.02E+06	1.12E+06
SPO1317	SPO1317				5.80E+06	4.47E+06	4.58E+06
SPO1318	SPO1318				1.26E+07	1.30E+07	1.28E+07
SPO1319	SPO1319				442048	369686	334753
SPO1320	SPO1320				4.66E+06	4.65E+06	4.97E+06
SPO1321	SPO1321				848578	828120	823494
SPO1322	SPO1322				44400.8	60808.7	52382.9
SPO1323	SPO1323				1.71E+06	1.64E+06	1.72E+06
SPO1324	SPO1324				233632	403809	307619
SPO1326	SPO1326				410081	395278	398506
SPO1327	SPO1327				2.47E+06	2.59E+06	2.54E+06
SPO1328	SPO1328				1.22E+07	1.14E+07	1.16E+07
SPO1329	SPO1329				1.87E+07	1.72E+07	1.92E+07
SPO1330	SPO1330				1.57E+07	1.66E+07	1.70E+07
SPO1331	SPO1331				689535	687270	657164
SPO1333	SPO1333				1.58E+07	1.73E+07	1.77E+07
SPO1334	SPO1334				2.29E+06	2.28E+06	2.33E+06
SPO1335	SPO1335				3.05E+06	3.05E+06	2.97E+06
SPO1336	SPO1336				1.53E+06	1.44E+06	1.53E+06
SPO1337	SPO1337				150083	127346	124603
SPO1337a	SPO1337a				944971	902490	917580
SPO1339	SPO1339				7.52E+06	8.01E+06	7.82E+06
SPO1340	SPO1340				117280	111405	112916
SPO1341	SPO1341				729832	517460	389092
SPO1342	SPO1342				74868.8	51805.7	67149.9
SPO1343	SPO1343				1.23E+06	1.16E+06	1.10E+06
SPO1344	SPO1344				3.20E+06	3.20E+06	3.10E+06
SPO1345	SPO1345				1.52E+07	1.61E+07	1.57E+07
SPO1346	SPO1346				1.09E+06	1.12E+06	1.10E+06
SPO1347	SPO1347				795934	742658	757673
SPO1348	SPO1348				4.61E+06	4.93E+06	5.23E+06
SPO1349	SPO1349				4.50E+06	4.93E+06	4.73E+06
SPO1351	SPO1351				5.10E+06	4.95E+06	5.34E+06
SPO1352	SPO1352				2.26E+06	2.24E+06	2.19E+06
SPO1352a	SPO1352a				1.33E+07	1.22E+07	1.09E+07
SPO1353	SPO1353				313119	311021	388286
SPO1354	SPO1354				1.19E+07	1.26E+07	1.30E+07
SPO1355	SPO1355				7.61E+06	7.47E+06	7.30E+06
SPO1356	SPO1356				3.01E+06	2.98E+06	3.12E+06
SPO1356a	SPO1356a				6.03E+06	5.90E+06	6.02E+06
SPO1357	SPO1357				123584	103622	94680.3
SPO1358	SPO1358				8.55E+06	8.09E+06	8.59E+06
SPO1359	SPO1359				4.24E+06	4.35E+06	4.27E+06
SPO1360	SPO1360				134422	119050	86208.3
SPO1361	SPO1361				323436	363948	381516
SPO1362	SPO1362				1.91E+06	1.87E+06	1.90E+06
SPO1363	SPO1363				644907	620613	619406
SPO1364	SPO1364				6.96E+06	7.93E+06	7.52E+06
SPO1364a	SPO1364a				2.58E+06	2.74E+06	2.67E+06
SPO1365	SPO1365				146922	121524	117327
SPO1366	SPO1366				6.78E+07	6.77E+07	6.68E+07
SPO1367	SPO1367				274152	227704	234411
SPO1368	SPO1368				585077	602550	629777
SPO1369	SPO1369				6.84E+06	6.87E+06	7.23E+06
SPO1370	SPO1370				2.56E+06	2.51E+06	2.56E+06
SPO1371	SPO1371				4.39E+06	4.56E+06	4.02E+06
SPO1372	SPO1372				2.53E+06	2.30E+06	2.44E+06
SPO1373	SPO1373				666488	634821	622698
SPO1374	SPO1374				2.03E+06	1.85E+06	1.92E+06
SPO1375	SPO1375				3.89E+06	3.89E+06	3.84E+06
SPO1376	SPO1376				12559.7		
SPO1377	SPO1377				1.96E+07	1.89E+07	1.93E+07
SPO1378	SPO1378				6.94E+06	7.14E+06	7.44E+06
SPO1379	SPO1379				74093.7	62569.5	44356.8
SPO1380	SPO1380				395775	405434	433254
SPO1381	SPO1381				541202	519846	532506
SPO1382	SPO1382				1.12E+06	879561	886298
SPO1383	SPO1383				3.42E+06	3.34E+06	3.45E+06
SPO1384	SPO1384				984097	887419	858701
SPO1385	SPO1385				296046	285052	278879
SPO1386	SPO1386				8.26E+06	8.83E+06	9.14E+06
SPO1387	SPO1387				79612.1	37147.1	59729.3
SPO1388	SPO1388				3.66E+06	3.49E+06	3.41E+06
SPO1389	SPO1389				492707	447732	397976
SPO1390	SPO1390				1.10E+06	919811	989587
SPO1392	SPO1392				761471	634223	655313
SPO1393	SPO1393				507642	429392	473479
SPO1394	SPO1394						
SPO1395	SPO1395				167539	115704	144527
SPO1396	SPO1396				296926	238394	215466
SPO1397	SPO1397				3.09E+06	2.75E+06	2.94E+06
SPO1398	SPO1398				8.63E+06	8.46E+06	8.60E+06
SPO1399	SPO1399				757616	682628	685955
SPO1400	SPO1400				469253	449954	486743
SPO1401	SPO1401				1.86E+06	1.84E+06	1.80E+06
SPO1402	SPO1402				187571	252322	314012
SPO1403	SPO1403				9.98E+06	1.01E+07	1.04E+07
SPO1404	SPO1404				911179	1.08E+06	1.16E+06
SPO1405	SPO1405				3.65E+06	3.88E+06	4.04E+06
SPO1406	SPO1406				197321	123157	183417
SPO1407	SPO1407				437731	375837	441904
SPO1408	SPO1408				2.14E+06	1.92E+06	1.88E+06
SPO1409	SPO1409				1.27E+07	1.25E+07	1.34E+07
SPO1410	SPO1410				1.45E+06	1.43E+06	1.28E+06
SPO1411	SPO1411				233725	208903	199745
SPO1412a	SPO1412a				6.18E+06	5.59E+06	5.40E+06
SPO1413	SPO1413				1.70E+07	1.72E+07	1.83E+07
SPO1414	SPO1414				6.22E+06	6.05E+06	6.02E+06
SPO1415	SPO1415				1.21E+07	1.43E+07	1.33E+07
SPO1416	SPO1416				724184	653666	566658
SPO1417	SPO1417				1.90E+07	1.92E+07	1.92E+07
SPO1418	SPO1418				1.29E+06	1.61E+06	1.36E+06
SPO1419	SPO1419				5.14E+06	5.32E+06	5.24E+06
SPO1420	SPO1420				1.45E+07	1.45E+07	1.60E+07
SPO1421	SPO1421				168845	179245	194276
SPO1422	SPO1422				793766	695952	875615
SPO1423	SPO1423				3.61E+06	3.53E+06	3.51E+06
SPO1424	SPO1424				1.48E+06	1.43E+06	1.49E+06
SPO1425	SPO1425				686223	584241	641852
SPO1426	SPO1426				440746	378455	401922
SPO1427	SPO1427				5.25E+06	5.93E+06	5.63E+06
SPO1429	SPO1429				4.23E+07	4.64E+07	4.73E+07
SPO1430	SPO1430				122175		
SPO1431	SPO1431				1.65E+07	1.52E+07	1.63E+07
SPO1432	SPO1432				2.45E+06	2.52E+06	2.77E+06
SPO1433	SPO1433				1.18E+07	1.21E+07	1.21E+07
SPO1434	SPO1434				348796	335000	327674
SPO1435	SPO1435				879651	826099	829433
SPO1436	SPO1436				461341	409091	431419
SPO1437	SPO1437				72896	66053.9	72261.6
SPO1438	SPO1438				1.58E+06	1.16E+06	1.29E+06
SPO1439	SPO1439				493436	480082	466376
SPO1442	SPO1442				578231	515418	528539
SPO1443	SPO1443				1.67E+07	1.71E+07	1.69E+07
SPO1444	SPO1444				1.37E+06	1.39E+06	1.28E+06
SPO1445	SPO1445				870203	966822	920361
SPO1446	SPO1446				1.09E+06	1.04E+06	1.03E+06
SPO1447	SPO1447				1.13E+06	1.10E+06	1.09E+06
SPO1448	SPO1448				728666	611758	616352
SPO1449	SPO1449				785578	805068	801367
SPO1450	SPO1450				347965	295380	288181
SPO1451	SPO1451				2.03E+06	1.94E+06	1.94E+06
SPO1452	SPO1452				228455	237051	222839
SPO1453	SPO1453				1.82E+06	1.84E+06	1.99E+06
SPO1454	SPO1454				575616	518461	646156
SPO1455	SPO1455				244766	230889	238852
SPO1456	SPO1456				82253.3	72998.7	68930.1
SPO1457	SPO1457				4.05E+06	3.98E+06	4.07E+06
SPO1458	SPO1458				503505	456618	504223
SPO1459	SPO1459				560139	545654	600420
SPO1460	SPO1460				628789	621459	650757
SPO1461	SPO1461				1.02E+06	1.01E+06	1.02E+06
SPO1462	SPO1462				721508	689783	687366
SPO1463	SPO1463				61935.8	43286.9	54129.3
SPO1464	SPO1464				100056	127223	158960
SPO1465	SPO1465				869838	860506	908516
SPO1466	SPO1466				93433.6	97076.4	101178
SPO1467	SPO1467				68961	54232.5	62480.3
SPO1468	SPO1468				591115	585774	607607
SPO1469	SPO1469				719244	830996	632363
SPO1470	SPO1470				249444	231712	236785
SPO1471	SPO1471				431617	360580	353691
SPO1472	SPO1472				339669	310893	361161
SPO1473	SPO1473				141788	130460	134774
SPO1474	SPO1474				206282	206133	194828
SPO1475	SPO1475				368675	365749	365455
SPO1476	SPO1476				527268	472837	480233
SPO1477	SPO1477				217300	204690	201466
SPO1478	SPO1478				796675	702444	558694
SPO1479	SPO1479				666819	688071	657940
SPO1480	SPO1480				684021	632626	531412
SPO1481	SPO1481				238030	180559	144811
SPO1482	SPO1482				1.31E+07	1.13E+07	8.71E+06
SPO1483	SPO1483				2.21E+06	1.91E+06	1.58E+06
SPO1484	SPO1484				214895	228890	182824
SPO1485	SPO1485				109172	80203.9	75444.5
SPO1486	SPO1486				944762	812922	728428
SPO1488	SPO1488				592710	502867	486797
SPO1489	SPO1489				93921.4	84499.9	87984
SPO1490	SPO1490				74715.6	135886	75255.9
SPO1491	SPO1491				356960		269839
SPO1492	SPO1492				34884.1	82143.9	109052
SPO1493	SPO1493				48708	65204.3	64469.5
SPO1494	SPO1494				279588	268734	280151
SPO1495	SPO1495				1.88E+06	1.80E+06	1.47E+06
SPO1496	SPO1496				1.24E+06	1.21E+06	1.05E+06
SPO1497	SPO1497				6.82E+06	6.65E+06	6.20E+06
SPO1498	SPO1498				2.16E+07	2.24E+07	2.10E+07
SPO1499	SPO1499				2.29E+06	2.09E+06	2.22E+06
SPO1500	SPO1500				3.21E+06	3.12E+06	2.79E+06
SPO1501	SPO1501				1.66E+06	1.79E+06	1.74E+06
SPO1502	SPO1502				4.10E+06	3.80E+06	3.30E+06
SPO1503	SPO1503				2.71E+06	2.74E+06	2.31E+06
SPO1505	SPO1505				925941	862411	823568
SPO1506	SPO1506				651363	633524	623172
SPO1507	SPO1507				4.04E+06	3.89E+06	3.63E+06
SPO1508	SPO1508				3.19E+06	2.98E+06	3.00E+06
SPO1509	SPO1509				59917	42555.7	61068.3
SPO1510	SPO1510				112281	90493.4	85229.3
SPO1511	SPO1511				1.76E+06	1.65E+06	1.59E+06
SPO1512	SPO1512				7.75E+06	7.09E+06	7.22E+06
SPO1513	SPO1513				2.57E+06	1.89E+06	2.00E+06
SPO1514	SPO1514				4.26E+06	4.18E+06	3.90E+06
SPO1515	SPO1515				1.67E+06	1.48E+06	1.42E+06
SPO1516	SPO1516				1.31E+06	1.15E+06	1.10E+06
SPO1517	SPO1517				1.76E+07	1.93E+07	1.84E+07
SPO1518	SPO1518				8.12E+06	8.67E+06	8.11E+06
SPO1519	SPO1519				8.38E+06	8.04E+06	7.86E+06
SPO1520	SPO1520				1.46E+07	1.42E+07	1.42E+07
SPO1521	SPO1521				326457	307175	301496
SPO1522	SPO1522				742680	681847	776941
SPO1523	SPO1523				536202	459732	469243
SPO1524	SPO1524				81210.6	60141.2	54170.6
SPO1525	SPO1525				127865	114593	97125.8
SPO1526	SPO1526				204830	168524	190855
SPO1527	SPO1527				55354.8	57749.6	55122.9
SPO1528	SPO1528				280083	292298	275056
SPO1530	SPO1530				464381	573994	396522
SPO1531	SPO1531				344690	281020	338968
SPO1532	SPO1532				719404	658340	640300
SPO1533	SPO1533				1.43E+06	1.54E+06	1.54E+06
SPO1535	SPO1535				305303	243758	327313
SPO1536	SPO1536				1.79E+06	1.88E+06	1.77E+06
SPO1537	SPO1537						51020.3
SPO1538	SPO1538				360124	323774	346957
SPO1540	SPO1540				73372.2	57210.5	50623
SPO1541	SPO1541				888815	945523	896148
SPO1542	SPO1542				1.23E+06	1.20E+06	1.19E+06
SPO1543	SPO1543				5.12E+06	5.45E+06	5.73E+06
SPO1544	SPO1544				255870	265580	281170
SPO1545	SPO1545				786872	736146	756026
SPO1546	SPO1546				941584	957071	980881
SPO1547	SPO1547				949655	1.04E+06	1.02E+06
SPO1548	SPO1548				112871	111466	128362
SPO1549	SPO1549				154287	150744	151593
SPO1551	SPO1551				253150	223678	237707
SPO1552	SPO1552				586910	537963	537488
SPO1553	SPO1553				3.28E+06	3.28E+06	3.45E+06
SPO1554	SPO1554				49588.5		
SPO1556	SPO1556				2.61E+06	2.68E+06	2.00E+06
SPO1557	SPO1557				6.44E+06	6.33E+06	6.44E+06
SPO1558	SPO1558				209993	168213	183500
SPO1559	SPO1559				5.42E+06	5.02E+06	5.18E+06
SPO1560	SPO1560				441702	332933	343531
SPO1562	SPO1562				2.70E+06	2.58E+06	2.52E+06
SPO1563	SPO1563				81675.9	62276.7	55137.4
SPO1564	SPO1564				522568	508878	536057
SPO1565	SPO1565				912780	884474	842348
SPO1566	SPO1566				872556	868997	824982
SPO1567	SPO1567				454279	405633	411587
SPO1568	SPO1568				350801	396589	314069
SPO1569	SPO1569				101547	122070	131044
SPO1570	SPO1570				88948.6	101024	77764.9
SPO1571	SPO1571				266436	326541	322586
SPO1572	SPO1572				5.26E+07	5.02E+07	5.19E+07
SPO1573	SPO1573				1.54E+06	1.43E+06	1.37E+06
SPO1574	SPO1574				1.23E+06	1.12E+06	1.16E+06
SPO1575	SPO1575				610295	658190	635861
SPO1576	SPO1576				803901	715575	713969
SPO1579	SPO1579				1.19E+06	1.15E+06	1.11E+06
SPO1580	SPO1580				464085	527608	509134
SPO1581	SPO1581				456465	370576	313447
SPO1582	SPO1582				572855	574201	576775
SPO1583	SPO1583				4.74E+06	4.84E+06	4.78E+06
SPO1584	SPO1584				282865	272833	285940
SPO1585	SPO1585				129025	102253	99789.8
SPO1586	SPO1586				1.79E+06	1.71E+06	1.93E+06
SPO1587	SPO1587				101977	101802	102855
SPO1588	SPO1588				49003.5	37680.2	47738.8
SPO1589	SPO1589				2.67E+06	2.67E+06	2.55E+06
SPO1590	SPO1590				119433	121107	111546
SPO1591	SPO1591				550537	545477	587302
SPO1592	SPO1592				413941	393510	391356
SPO1593	SPO1593				816678	869040	922327
SPO1594	SPO1594				205020	214184	205483
SPO1595	SPO1595				232611	258078	249713
SPO1596	SPO1596				431843	436206	453674
SPO1597	SPO1597				968334	907171	941699
SPO1598	SPO1598				4.52E+06	4.25E+06	3.90E+06
SPO1599	SPO1599				135458	130075	117694
SPO1600	SPO1600				46335.4	43417.8	52604
SPO1601	SPO1601				191133	179223	180112
SPO1602	SPO1602				109142	79751.3	51080.4
SPO1603	SPO1603				91420.8	86589.4	82765.9
SPO1604	SPO1604				460567	446802	469555
SPO1605	SPO1605				724343	735999	722997
SPO1606	SPO1606				1.57E+06	1.62E+06	1.68E+06
SPO1607	SPO1607						28189.9
SPO1608	SPO1608				91242.3	51791.8	69562.6
SPO1609	SPO1609				270758	286229	286877
SPO1610	SPO1610				204723	179853	219438
SPO1612	SPO1612				1.26E+06	1.67E+06	1.51E+06
SPO1614	SPO1614				637050	563826	611189
SPO1615	SPO1615				844379	827839	733502
SPO1620	SPO1620				1.14E+06	1.11E+06	1.07E+06
SPO1621	SPO1621				1.37E+06	1.20E+06	1.31E+06
SPO1622	SPO1622				1.82E+06	1.66E+06	1.48E+06
SPO1623	SPO1623				2.54E+06	2.38E+06	2.46E+06
SPO1624	SPO1624				3.83E+06	3.78E+06	4.24E+06
SPO1625	SPO1625				1.25E+07	1.46E+07	1.79E+07
SPO1626	SPO1626				542055	514243	563916
SPO1627	SPO1627				1.32E+06	1.46E+06	1.43E+06
SPO1628	SPO1628				352148	339413	358008
SPO1629	SPO1629				1.20E+06	1.22E+06	1.19E+06
SPO1630	SPO1630				439240	388904	401496
SPO1631	SPO1631				2.84E+06	2.73E+06	2.87E+06
SPO1632	SPO1632				3.54E+06	3.51E+06	3.40E+06
SPO1633	SPO1633				3.16E+06	3.25E+06	3.27E+06
SPO1634	SPO1634				1.08E+06	1.13E+06	994977
SPO1635	SPO1635				3.71E+06	3.67E+06	3.44E+06
SPO1636	SPO1636				1.74E+06	1.75E+06	1.80E+06
SPO1637	SPO1637				5.29E+07	5.24E+07	5.20E+07
SPO1638	SPO1638				829905	710628	648248
SPO1640	SPO1640				693954	675036	641534
SPO1641	SPO1641				704370	685230	717978
SPO1643	SPO1643				761199	686238	752669
SPO1647	SPO1647				269328	286322	288328
SPO1649	SPO1649				166956	161560	174485
SPO1656	SPO1656				2.74E+06	2.72E+06	2.83E+06
SPO1657	SPO1657				1.98E+06	2.36E+06	2.15E+06
SPO1658	SPO1658				1.35E+06	1.40E+06	1.35E+06
SPO1659	SPO1659				2.10E+07	2.07E+07	1.94E+07
SPO1660	SPO1660				778296	761862	733681
SPO1661	SPO1661				1.24E+06	1.25E+06	1.17E+06
SPO1662	SPO1662				1.46E+07	1.57E+07	1.57E+07
SPO1663	SPO1663				882596	936462	1.06E+06
SPO1664	SPO1664				3.29E+07	3.33E+07	3.33E+07
SPO1665	SPO1665				5.51E+06	5.40E+06	5.22E+06
SPO1666	SPO1666				560780	486886	554957
SPO1667	SPO1667				2.26E+06	2.19E+06	2.16E+06
SPO1668	SPO1668				5.17E+06	5.54E+06	5.92E+06
SPO1669	SPO1669				236474	188442	186242
SPO1670	SPO1670				1.24E+07	1.26E+07	1.30E+07
SPO1671	SPO1671				1.67E+06	1.53E+06	1.61E+06
SPO1672	SPO1672				1.09E+07	1.19E+07	1.24E+07
SPO1673	SPO1673				1.40E+07	1.49E+07	1.53E+07
SPO1674	SPO1674				3.98E+06	4.02E+06	3.88E+06
SPO1675	SPO1675				3.28E+06	3.18E+06	3.15E+06
SPO1676	SPO1676				1.71E+06	1.48E+06	1.45E+06
SPO1677	SPO1677				2.96E+06	2.88E+06	2.71E+06
SPO1678	SPO1678						
SPO1679	SPO1679				916443	799723	784220
SPO1680	SPO1680				5.01E+06	5.08E+06	5.32E+06
SPO1681	SPO1681				1.91E+06	1.89E+06	1.84E+06
SPO1683	SPO1683				1.26E+06	1.28E+06	1.31E+06
SPO1684	SPO1684				2.23E+06	1.87E+06	2.16E+06
SPO1685	SPO1685				583492	587701	556052
SPO1686	SPO1686				2.97E+06	2.77E+06	3.01E+06
SPO1687	SPO1687				9.74E+06	9.61E+06	9.71E+06
SPO1688	SPO1688				629584	535990	539201
SPO1689	SPO1689				736826	594735	709652
SPO1690	SPO1690				1.22E+06	1.31E+06	1.24E+06
SPO1691	SPO1691				7.93E+07	7.76E+07	7.46E+07
SPO1692	SPO1692				1.27E+08	1.45E+08	1.39E+08
SPO1693	SPO1693				2.90E+06	3.02E+06	3.06E+06
SPO1694	SPO1694				3.93E+06	3.88E+06	3.80E+06
SPO1695	SPO1695				1.18E+06	1.11E+06	1.16E+06
SPO1696	SPO1696				597939	575198	613117
SPO1697	SPO1697				604150	530198	534498
SPO1698	SPO1698				87345.4	133858	118985
SPO1699	SPO1699				216893	173897	156697
SPO1700	SPO1700				3.35E+06	3.32E+06	3.22E+06
SPO1701	SPO1701				906713	923999	959425
SPO1703	SPO1703				172744	182926	189988
SPO1704	SPO1704				424803	390771	428861
SPO1707	SPO1707				80652	71763.5	75519.8
SPO1707a	SPO1707a				867107	898954	1.31E+06
SPO1708	SPO1708				19896.2	13669.2	23053.3
SPO1709	SPO1709				82930.1	108832	227431
SPO1710	SPO1710				1.20E+06	698780	4.30E+06
SPO1711	SPO1711				386909	181682	321740
SPO1712	SPO1712					380925	
SPO1713	SPO1713						
SPO1714	SPO1714				135872	136281	100207
SPO1715	SPO1715				29406.1	21692.3	41343.7
SPO1716	SPO1716						
SPO1717	SPO1717				405180	430039	418833
SPO1719	SPO1719				62303.4	37642.8	46218.8
SPO1720	SPO1720				61930.4	33144.6	44548.4
SPO1721	SPO1721				3.47E+06	3.49E+06	3.44E+06
