Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_ML_3.raw
SPO0433	SPO0433				817186	772906	784395
SPO0434	SPO0434				2.06E+06	2.07E+06	2.10E+06
SPO0435	SPO0435				770966	711439	695837
SPO0436	SPO0436				783454	814214	797346
SPO0437	SPO0437				3.63E+07	3.70E+07	3.58E+07
SPO0438	SPO0438				4.75E+06	4.50E+06	4.50E+06
SPO0440	SPO0440				2.94E+06	2.66E+06	2.73E+06
SPO0442	SPO0442				728418	860896	744863
SPO0445	SPO0445				35618.7	40130	38571.3
SPO0446	SPO0446				1.78E+07	1.81E+07	1.82E+07
SPO0447	SPO0447						
SPO0448	SPO0448				354148	415606	372638
SPO0449	SPO0449				992249	997177	966703
SPO0450	SPO0450						
SPO0451	SPO0451				2.04E+06	2.01E+06	2.01E+06
SPO0452	SPO0452				827695	788356	778772
SPO0454	SPO0454				2.02E+06	2.10E+06	2.01E+06
SPO0455	SPO0455				8.21E+06	7.95E+06	8.18E+06
SPO0456	SPO0456				3.17E+06	2.70E+06	2.72E+06
SPO0457	SPO0457				212034	191778	200040
SPO0459	SPO0459				113665	96934.2	141303
SPO0460	SPO0460				310078	254795	224626
SPO0461	SPO0461				3.45E+06	3.15E+06	3.08E+06
SPO0462	SPO0462				5.91E+06	5.70E+06	5.73E+06
SPO0463	SPO0463				6.19E+06	5.67E+06	4.27E+06
SPO0464	SPO0464				769288	754033	731793
SPO0465	SPO0465				335343	333081	291439
SPO0466	SPO0466				763556	696234	606350
SPO0467	SPO0467				488966	488726	479489
SPO0468	SPO0468				558478	529924	495335
SPO0469	SPO0469				173696	167994	188728
SPO0470	SPO0470				236667	225022	255962
SPO0471	SPO0471				388888	472181	492217
SPO0472	SPO0472				192056	185277	178694
SPO0473	SPO0473				185104	192100	169591
SPO0474	SPO0474				634811	592552	601132
SPO0475	SPO0475				1.31E+06	1.16E+06	1.10E+06
SPO0476	SPO0476				1.81E+06	1.81E+06	1.83E+06
SPO0477	SPO0477				339891	360270	374306
SPO0478	SPO0478					60611.3	46814.9
SPO0479	SPO0479				266797	283894	251195
SPO0481	SPO0481				2.43E+06	2.45E+06	2.51E+06
SPO0482	SPO0482				1.16E+07	1.26E+07	1.20E+07
SPO0483	SPO0483				1.54E+06	1.53E+06	1.41E+06
SPO0484	SPO0484				8.10E+07	8.45E+07	8.49E+07
SPO0485	SPO0485				7.12E+07	8.18E+07	7.41E+07
SPO0486	SPO0486				5.38E+07	5.60E+07	5.45E+07
SPO0487	SPO0487				1.47E+08	1.46E+08	1.40E+08
SPO0488	SPO0488				6.46E+07	7.17E+07	7.28E+07
SPO0490	SPO0490				208903		
SPO0491	SPO0491				4.44E+06	3.66E+06	3.92E+06
SPO0491a	SPO0491a				2.95E+06	2.87E+06	2.74E+06
SPO0492	SPO0492				190920	161970	158120
SPO0493	SPO0493				2.02E+07	1.69E+07	1.77E+07
SPO0494	SPO0494				2.56E+07	2.98E+07	2.76E+07
SPO0495	SPO0495				4.46E+07	5.60E+07	5.25E+07
SPO0496	SPO0496				8.72E+07	9.91E+07	9.83E+07
SPO0497	SPO0497				6.44E+07	6.67E+07	6.76E+07
SPO0498	SPO0498				1.10E+08	1.31E+08	1.25E+08
SPO0499	SPO0499				7.91E+07	9.27E+07	9.05E+07
SPO0500	SPO0500				4.37E+07	4.41E+07	4.91E+07
SPO0501	SPO0501				9.92E+07	1.10E+08	1.07E+08
SPO0502	SPO0502				8.59E+07	9.35E+07	8.78E+07
SPO0503	SPO0503				8.78E+07	8.13E+07	8.07E+07
SPO0504	SPO0504				3.17E+07	3.29E+07	3.39E+07
SPO0504a	SPO0504a				5.87E+06	6.04E+06	5.98E+06
SPO0505	SPO0505				7.19E+07	8.11E+07	7.78E+07
SPO0506	SPO0506				7.04E+06	6.77E+06	7.55E+06
SPO0507	SPO0507				9.17E+06	9.19E+06	9.45E+06
SPO0508	SPO0508				1.30E+06	1.18E+06	1.12E+06
SPO0509	SPO0509				1.09E+08	1.18E+08	1.21E+08
SPO0510	SPO0510				6.70E+07	7.32E+07	7.08E+07
SPO0511	SPO0511				4.19E+07	4.03E+07	4.53E+07
SPO0512	SPO0512				6.33E+07	6.68E+07	6.55E+07
SPO0513	SPO0513				887545	886026	820464
SPO0514	SPO0514				3.79E+06	4.10E+06	4.17E+06
SPO0515	SPO0515				849950	812956	809110
SPO0516	SPO0516				5.02E+06	5.03E+06	4.95E+06
SPO0517	SPO0517				2.03E+06	1.99E+06	1.94E+06
SPO0518	SPO0518				3.52E+06	3.47E+06	3.48E+06
SPO0519	SPO0519				9.18E+07	1.06E+08	1.03E+08
SPO0520	SPO0520				6.98E+06	7.13E+06	6.90E+06
SPO0521	SPO0521				4.52E+06	4.34E+06	4.66E+06
SPO0522	SPO0522				2.04E+07	1.97E+07	2.02E+07
SPO0523	SPO0523				3.15E+06	3.46E+06	3.31E+06
SPO0524	SPO0524				1.54E+06	1.63E+06	1.69E+06
SPO0525	SPO0525				97956	85824.6	63882.4
SPO0526	SPO0526				7.73E+06	7.64E+06	8.13E+06
SPO0527	SPO0527				4.75E+06	5.19E+06	5.02E+06
SPO0528	SPO0528				6.74E+07	6.77E+07	6.42E+07
SPO0530	SPO0530				2.95E+06	3.03E+06	3.01E+06
SPO0531	SPO0531				3.79E+06	3.67E+06	3.65E+06
SPO0532	SPO0532				1.08E+07	1.11E+07	1.17E+07
SPO0533	SPO0533				45309.4	26044.3	43191.6
SPO0534	SPO0534				1.10E+06	1.03E+06	1.07E+06
SPO0535	SPO0535				326258	303723	315288
SPO0536	SPO0536				1.06E+06	842894	910937
SPO0537	SPO0537				1.04E+06	1.04E+06	999627
SPO0538	SPO0538				5.24E+07	7.97E+07	8.41E+07
SPO0539	SPO0539				290569	263677	329769
SPO0540	SPO0540				1.13E+06	1.10E+06	1.09E+06
SPO0541	SPO0541				2.09E+06	2.02E+06	2.08E+06
SPO0543	SPO0543				579924	530023	559357
SPO0544	SPO0544				258007	255440	229125
SPO0545	SPO0545				2.36E+06	2.22E+06	2.36E+06
SPO0546	SPO0546				762999	752920	608794
SPO0547	SPO0547						67418.4
SPO0549	SPO0549				1.15E+06	1.10E+06	1.20E+06
SPO0550	SPO0550				1.29E+06	1.35E+06	1.30E+06
SPO0551	SPO0551				1.23E+06	1.23E+06	1.19E+06
SPO0552	SPO0552				1.34E+06	1.25E+06	1.29E+06
SPO0553	SPO0553				1.15E+06	1.10E+06	1.11E+06
SPO0554	SPO0554				2.23E+06	2.12E+06	2.03E+06
SPO0555	SPO0555				3.27E+06	3.21E+06	3.14E+06
SPO0556	SPO0556				1.88E+06	1.72E+06	1.82E+06
SPO0557	SPO0557				2.83E+06	2.80E+06	2.74E+06
SPO0558	SPO0558				2.04E+06	1.84E+06	1.99E+06
SPO0559	SPO0559				411608	560331	391566
SPO0560	SPO0560				5.31E+06	5.13E+06	5.30E+06
SPO0561	SPO0561				2.57E+06	2.61E+06	2.61E+06
SPO0562	SPO0562				4.34E+06	4.37E+06	4.48E+06
SPO0563	SPO0563				2.46E+06	2.49E+06	2.28E+06
SPO0564	SPO0564				801828	687984	768051
SPO0565	SPO0565				231352	248444	238561
SPO0566	SPO0566				585350	459193	401745
SPO0567	SPO0567				1.63E+06	1.61E+06	1.57E+06
SPO0568	SPO0568				1.04E+06	382043	717799
SPO0569	SPO0569				551046	525142	527520
SPO0570	SPO0570				120825	128191	111914
SPO0571	SPO0571				393217	393925	418082
SPO0572	SPO0572				328303	305134	298481
SPO0573	SPO0573				55413.6	51045.9	40673.3
SPO0574	SPO0574				1.91E+06	1.76E+06	1.85E+06
SPO0575	SPO0575				2.75E+06	2.69E+06	2.75E+06
SPO0576	SPO0576				1.12E+06	1.08E+06	1.13E+06
SPO0577	SPO0577				556056	545894	530371
SPO0578	SPO0578				586412	558693	573539
SPO0579	SPO0579				718765	710003	709340
SPO0580	SPO0580				2.84E+06	2.84E+06	3.09E+06
SPO0581	SPO0581				1.90E+06	2.05E+06	1.98E+06
SPO0582	SPO0582				7.78E+06	8.10E+06	6.99E+06
SPO0583	SPO0583				371616	364388	351653
SPO0584	SPO0584				93886.6	91241.1	84259.9
SPO0585	SPO0585				1.41E+06	1.36E+06	1.39E+06
SPO0586	SPO0586				1.87E+06	1.78E+06	1.70E+06
SPO0587	SPO0587				703451	691927	634094
SPO0588	SPO0588				502072	493644	525875
SPO0589	SPO0589				206631	192636	220482
SPO0590	SPO0590				671112	611786	640900
SPO0591	SPO0591				201773	201843	228632
SPO0594	SPO0594				150674	138481	130822
SPO0595	SPO0595				59655.4	61693.8	61050.1
SPO0596	SPO0596				344958	232785	333033
SPO0597	SPO0597				332815	333569	318363
SPO0599	SPO0599				7.16E+06	7.62E+06	7.38E+06
SPO0600	SPO0600				3.11E+06	3.04E+06	3.24E+06
SPO0601	SPO0601				1.91E+07	1.88E+07	1.84E+07
SPO0602	SPO0602				2.04E+06	1.74E+06	1.82E+06
SPO0603	SPO0603				229654	199888	217004
SPO0605	SPO0605				432182	510971	387287
SPO0606	SPO0606				199659	215468	220574
