Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_++Cas_ML_I.raw	I:\Fadime\250307\250308_++Cas_ML_II.raw	I:\Fadime\250307\250308_++Cas_ML_III.raw
SPO1658	SPO1658				1.09E+06	1.30E+06	1.26E+06
SPO1659	SPO1659				1.55E+07	1.76E+07	1.73E+07
SPO1660	SPO1660				875405	732344	714253
SPO1661	SPO1661				1.30E+06	1.16E+06	1.09E+06
SPO1662	SPO1662				1.66E+07	1.55E+07	1.47E+07
SPO1663	SPO1663				742163	884057	936386
SPO1664	SPO1664				3.21E+07	3.06E+07	3.21E+07
SPO1665	SPO1665				5.39E+06	4.42E+06	4.40E+06
SPO1666	SPO1666				292641	491641	470732
SPO1667	SPO1667				1.68E+06	1.75E+06	1.72E+06
SPO1668	SPO1668				3.38E+06	4.11E+06	3.97E+06
SPO1669	SPO1669				87765.6	154685	265377
SPO1670	SPO1670				1.24E+07	1.27E+07	1.23E+07
SPO1671	SPO1671				1.40E+06	2.86E+06	2.62E+06
SPO1672	SPO1672				8.11E+06	6.39E+06	6.86E+06
SPO1673	SPO1673				1.62E+07	1.67E+07	1.73E+07
SPO1674	SPO1674				3.12E+06	3.33E+06	3.38E+06
SPO1675	SPO1675				2.92E+06	2.88E+06	3.01E+06
SPO1676	SPO1676				1.77E+06	1.96E+06	2.14E+06
SPO1677	SPO1677				2.74E+06	2.75E+06	2.94E+06
SPO1678	SPO1678				585740	529966	592677
SPO1679	SPO1679				2.61E+06	3.75E+06	3.82E+06
SPO1680	SPO1680				5.50E+06	6.32E+06	6.56E+06
SPO1681	SPO1681				2.14E+06	2.22E+06	2.12E+06
SPO1683	SPO1683				1.26E+06	1.26E+06	1.16E+06
SPO1684	SPO1684				1.71E+06	3.55E+06	3.82E+06
SPO1685	SPO1685				558689	592798	597884
SPO1686	SPO1686				3.55E+06	3.50E+06	3.51E+06
SPO1687	SPO1687				8.49E+06	1.00E+07	9.99E+06
SPO1688	SPO1688				315213	290577	214402
SPO1689	SPO1689				7.00E+06	2.93E+06	3.08E+06
SPO1690	SPO1690				1.63E+06	1.44E+06	1.47E+06
SPO1691	SPO1691				6.45E+07	5.92E+07	5.84E+07
SPO1692	SPO1692				1.54E+08	9.33E+07	1.01E+08
SPO1693	SPO1693				3.99E+06	3.98E+06	4.18E+06
SPO1694	SPO1694				1.03E+06	1.26E+06	1.16E+06
SPO1695	SPO1695				944971	804060	831397
SPO1696	SPO1696				417846	405987	452517
SPO1697	SPO1697				382265	340654	325641
SPO1698	SPO1698				121609	77741.4	68448.1
SPO1699	SPO1699				149795	95869.1	124131
SPO1700	SPO1700				4.46E+06	3.86E+06	3.68E+06
SPO1701	SPO1701				841410	976824	930870
SPO1703	SPO1703				168203	149286	200755
SPO1704	SPO1704				304298	305253	275028
SPO1707	SPO1707				43127	37397.1	46038.7
SPO1707a	SPO1707a				3.15E+06	78989.2	345476
SPO1708	SPO1708						
SPO1709	SPO1709				545919	669940	590921
SPO1710	SPO1710				1.32E+06	2.26E+06	2.83E+06
SPO1711	SPO1711				441407	326610	223737
SPO1712	SPO1712				744364	4.18E+06	
SPO1713	SPO1713					149344	115374
SPO1714	SPO1714				962936	301856	168621
SPO1715	SPO1715				64585.9	45668.4	
SPO1716	SPO1716						
SPO1717	SPO1717				474043	422449	345825
SPO1719	SPO1719						20196.3
SPO1720	SPO1720						52048.2
SPO1721	SPO1721				3.64E+06	3.52E+06	3.60E+06
SPO1722	SPO1722				567366	613234	611428
SPO1723	SPO1723				212099	246296	273475
SPO1724	SPO1724				499563	401103	456804
SPO1725	SPO1725				4.67E+06	5.47E+06	5.38E+06
SPO1727	SPO1727				6.03E+06	5.58E+06	5.49E+06
SPO1728	SPO1728				1.01E+06	1.14E+06	1.03E+06
SPO1729	SPO1729				1.05E+07	8.30E+06	8.51E+06
SPO1732	SPO1732				1.55E+06	1.48E+06	1.52E+06
SPO1733	SPO1733				1.54E+07	1.77E+07	1.84E+07
SPO1734	SPO1734				1.20E+07	1.18E+07	1.24E+07
SPO1735	SPO1735				143848	151507	119068
SPO1736	SPO1736				774809	861467	820814
