Accession Number	Annotation	1	2	3
SPO0220	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	2.35E+06	2.50E+06	2.28E+06
SPO0221	NADPH-dependent FMN reductase-like domain-containing protein	1.18E+06	1.11E+06	1.04E+06
SPO0222	Alanine dehydrogenase (EC 1.4.1.1)	3.84E+07	3.79E+07	3.74E+07
SPO0223	"Transcriptional regulator, AsnC family"	901597	832952	869821
SPO0224	NDP-polyphosphate phosphotransferase 1 (EC 2.7.4.-) (Polyphosphate kinase PPK2 1) (RpPPK2-1)	5.58E+06	5.66E+06	5.39E+06
SPO0225	"Transcriptional regulator, putative"	482018	510392	559999
SPO0226	Cytochrome P450 family protein	525134	562399	548109
SPO0227	"PaxA, putative"	4.35E+06	4.74E+06	3.86E+06
SPO0229	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)	4.39E+07	5.12E+07	5.14E+07
SPO0230	COQ9 C-terminal domain-containing protein	3.34E+06	3.34E+06	3.39E+06
SPO0231	"Alcohol dehydrogenase, zinc-containing"	1.60E+07	1.61E+07	1.61E+07
SPO0232	"Quinone oxidoreductase, putative"	5.96E+06	5.72E+06	5.74E+06
SPO0233	"Transcriptional regulator, AsnC family"	946683	958623	898804
SPO0234	Lysine dehydrogenase	8.43E+07	8.64E+07	8.83E+07
SPO0235	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)	6.00E+07	6.34E+07	6.28E+07
SPO0236	"Glycerophosphoryl diester phosphodiesterase, putative"	992925	973066	980803
SPO0237	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)	1.43E+06	1.50E+06	1.28E+06
SPO0238	sn-glycerol-3-phosphate transport system permease protein UgpE	386268	285646	471071
SPO0239	sn-glycerol-3-phosphate transport system permease protein UgpA	548073	616545	650342
SPO0240	"SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein"	5.03E+06	5.14E+06	4.88E+06
SPO0241	"Transcriptional regulator, LysR family"	727662	756843	715523
SPO0247	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	5.65E+06	5.73E+06	5.58E+06
SPO0248	Farnesyl diphosphate synthase (EC 2.5.1.10)	4.29E+06	4.30E+06	4.15E+06
SPO0249	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)		141572	147932
SPO0250	Histone deacetylase family protein	1.70E+06	1.62E+06	1.58E+06
SPO0251	DNA-binding response regulator PetR	3.73E+06	3.73E+06	3.66E+06
SPO0252	Transcriptional regulator PetP	1.44E+06	1.50E+06	1.47E+06
SPO0253	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	1.15E+07	1.08E+07	1.10E+07
SPO0254	Organic hydroperoxide resistance protein	3.20E+07	3.55E+07	3.15E+07
SPO0255	"Transcriptional regulator, MarR family"	464040	435579	420090
SPO0257	DUF4142 domain-containing protein	224027	220857	159188
SPO0258	"Transcriptional regulator, AraC family"	2.11E+06	2.17E+06	2.09E+06
SPO0260	"Alkaline phosphatase, putative"	573096	587554	631193
SPO0261	"Membrane protein, putative"	232285	247760	252646
SPO0262	"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase)"	1.34E+07	1.33E+07	1.41E+07
SPO0264	CaiB/BaiF family protein	1.35E+07	1.33E+07	1.35E+07
SPO0265	Auxin efflux carrier family protein	58508.4	51532.6	56109.5
SPO0266	HD domain protein	953035	1.00E+06	902755
SPO0267	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	6.25E+06	6.42E+06	6.41E+06
SPO0268	"6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)"	1.08E+06	1.01E+06	996512
SPO0269	Negative transcriptional regulator	943927	991233	942146
SPO0270	Glutathione S-transferase family protein	7.17E+06	7.44E+06	7.01E+06
SPO0271	Ubiquinol-cytochrome c reductase iron-sulfur subunit (EC 7.1.1.8)	4.36E+07	4.29E+07	4.14E+07
SPO0272	Cytochrome b	9.61E+06	9.09E+06	1.04E+07
SPO0273	Cytochrome c1	1.40E+07	1.52E+07	1.47E+07
SPO0274	PepSY domain-containing protein		29844.3	36817.3
SPO0276	"Transcriptional regulator, LuxR family"	514444	562668	555419
SPO0277	MiaB-like tRNA modifying enzyme	1.72E+06	1.80E+06	1.70E+06
SPO0278	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	2.74E+06	2.83E+06	2.79E+06
SPO0281	YHS domain protein	101846	76291	99234.6
SPO0282	Peptide methionine sulfoxide reductase	579867	552253	550041
SPO0283	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	3.43E+06	3.61E+06	3.50E+06
SPO0284	"Dihydroorotase, multifunctional complex type (EC 3.5.2.3)"	5.83E+06	5.73E+06	5.79E+06
SPO0285	Lipoprotein	3.55E+06	3.54E+06	3.72E+06
SPO0286	Aspartate carbamoyltransferase catalytic subunit	3.21E+06	3.41E+06	3.19E+06
SPO0287	Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	3.10E+06	3.11E+06	3.17E+06
SPO0288	Type-4 uracil-DNA glycosylase (EC 3.2.2.27)	2.01E+06	2.10E+06	1.95E+06
SPO0289	Ser/Thr protein phosphatase family protein	2.75E+06	2.64E+06	2.67E+06
SPO0290	Transmembrane amino acid efflux protein		29716.4	29235
SPO0291	Molybdenum cofactor biosynthesis protein B	6.38E+06	6.60E+06	6.37E+06
SPO0292	"Efflux transporter, RND family, MFP subunit"	1.32E+06	1.30E+06	1.31E+06
SPO0293	"Transporter, AcrB/AcrD/AcrF family"	539082	554783	550205
SPO0294	"Hydrolase, NUDIX family"	804262	767513	838638
SPO0295	Thiol:disulfide interchange protein DsbD N-terminal domain-containing protein	2.32E+06	2.28E+06	2.18E+06
SPO0296	UPF0301 protein SPO0296	4.56E+06	4.61E+06	4.40E+06
