Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250307\250308_-N+C_ML_I.raw	I:\Fadime\250307\250308_-N+C_ML_II.raw	I:\Fadime\250307\250308_-N+C_ML_III.raw
SPO1359	SPO1359				4.17E+06	4.21E+06	4.25E+06
SPO1360	SPO1360				116335	101088	206966
SPO1361	SPO1361				495156	550235	511017
SPO1362	SPO1362				2.04E+06	2.11E+06	2.02E+06
SPO1363	SPO1363				699888	669800	682497
SPO1364	SPO1364				6.29E+06	5.81E+06	6.41E+06
SPO1364a	SPO1364a				2.97E+06	2.78E+06	3.09E+06
SPO1365	SPO1365				90134.1	75976.6	81819.2
SPO1366	SPO1366				3.54E+07	3.42E+07	3.57E+07
SPO1367	SPO1367				252647	211365	197650
SPO1368	SPO1368				545219	567259	549718
SPO1369	SPO1369				5.40E+06	5.34E+06	5.34E+06
SPO1370	SPO1370				2.46E+06	2.43E+06	2.49E+06
SPO1371	SPO1371				4.76E+06	4.87E+06	4.80E+06
SPO1372	SPO1372				4.38E+06	3.99E+06	3.94E+06
SPO1373	SPO1373				390592	387039	398222
SPO1374	SPO1374				1.93E+06	1.96E+06	1.95E+06
SPO1375	SPO1375				3.16E+06	3.07E+06	3.10E+06
SPO1376	SPO1376				130678		102358
SPO1377	SPO1377				2.01E+07	1.90E+07	1.99E+07
SPO1378	SPO1378				7.37E+06	7.27E+06	6.69E+06
SPO1379	SPO1379				86295.4	62523.3	63491.1
SPO1380	SPO1380				348714	392723	389840
SPO1381	SPO1381				558936	528418	525056
SPO1382	SPO1382				918914	901740	959168
SPO1383	SPO1383				5.61E+06	5.48E+06	5.73E+06
SPO1384	SPO1384				956826	927536	958962
SPO1385	SPO1385				346903	357586	378343
SPO1386	SPO1386				7.29E+06	7.11E+06	7.15E+06
SPO1387	SPO1387				108538	70610.2	
SPO1388	SPO1388				2.52E+06	2.63E+06	2.62E+06
SPO1389	SPO1389				671829	749542	670051
SPO1390	SPO1390				1.12E+06	1.08E+06	1.06E+06
SPO1392	SPO1392				609160	567388	610253
SPO1393	SPO1393				514150	479387	486483
SPO1394	SPO1394				69519.9	60074.1	90215.5
SPO1395	SPO1395				86108.9	102613	116078
SPO1396	SPO1396				197260	244766	277135
SPO1397	SPO1397				3.39E+06	3.28E+06	3.26E+06
SPO1398	SPO1398				1.06E+07	1.06E+07	1.04E+07
SPO1399	SPO1399				641996	616830	630101
SPO1400	SPO1400				402614	437399	375202
SPO1401	SPO1401				1.62E+06	1.57E+06	1.65E+06
SPO1402	SPO1402				146001	128188	102160
SPO1403	SPO1403				1.18E+07	1.22E+07	1.19E+07
SPO1404	SPO1404				878840	860055	889718
SPO1405	SPO1405				2.52E+06	2.64E+06	2.55E+06
SPO1406	SPO1406				169823	148611	178917
SPO1407	SPO1407				401180	348116	397044
SPO1408	SPO1408				2.02E+06	2.00E+06	1.96E+06
SPO1409	SPO1409				1.18E+07	1.18E+07	1.21E+07
SPO1410	SPO1410				2.00E+06	2.04E+06	2.02E+06
SPO1411	SPO1411				171847	171781	150397
SPO1412a	SPO1412a				4.24E+06	4.51E+06	4.48E+06
SPO1413	SPO1413				1.75E+07	1.74E+07	1.76E+07
SPO1414	SPO1414				5.74E+06	5.66E+06	5.76E+06
SPO1415	SPO1415				9.22E+06	7.53E+06	7.40E+06
SPO1416	SPO1416				571279	585071	632585
SPO1417	SPO1417				2.13E+07	2.13E+07	2.10E+07
SPO1418	SPO1418				1.61E+06	1.47E+06	1.68E+06
SPO1419	SPO1419				4.61E+06	4.75E+06	3.81E+06
SPO1420	SPO1420				1.21E+07	1.24E+07	1.17E+07
SPO1421	SPO1421				221548	187853	128877
SPO1422	SPO1422				766207	820708	784710
SPO1423	SPO1423				3.46E+06	3.37E+06	3.36E+06
SPO1424	SPO1424				1.21E+06	1.22E+06	1.24E+06
SPO1425	SPO1425				590770	578672	541607
SPO1426	SPO1426				6.56E+06	6.28E+06	6.81E+06
SPO1427	SPO1427				5.19E+06	5.16E+06	4.95E+06
SPO1429	SPO1429				3.02E+07	2.84E+07	3.00E+07
SPO1430	SPO1430				251874	410960	186262
SPO1431	SPO1431				1.77E+07	1.68E+07	1.76E+07
SPO1432	SPO1432				2.83E+06	2.96E+06	2.75E+06
SPO1433	SPO1433				1.05E+07	1.07E+07	1.04E+07
SPO1434	SPO1434				465945	444174	448828
SPO1435	SPO1435				969781	941646	976410
SPO1436	SPO1436				638317	614246	613674
SPO1437	SPO1437				99179.8	107252	95569.7
SPO1438	SPO1438				1.04E+06	1.00E+06	1.02E+06
SPO1439	SPO1439				428633	468487	431794
SPO1442	SPO1442				594896	613057	648462
SPO1443	SPO1443				1.85E+07	1.79E+07	1.72E+07
SPO1444	SPO1444				1.46E+06	1.45E+06	1.44E+06
SPO1445	SPO1445				3.73E+06	3.68E+06	3.60E+06
SPO1446	SPO1446				5.00E+06	5.07E+06	4.76E+06
SPO1447	SPO1447				5.22E+06	5.26E+06	4.95E+06
SPO1448	SPO1448				2.92E+06	2.77E+06	2.89E+06
SPO1449	SPO1449				4.70E+06	4.64E+06	4.63E+06
SPO1450	SPO1450				1.81E+06	1.58E+06	1.71E+06
SPO1451	SPO1451				1.26E+07	1.28E+07	1.28E+07
SPO1452	SPO1452				1.19E+06	1.17E+06	1.21E+06
SPO1453	SPO1453				2.15E+06	2.07E+06	1.94E+06
SPO1454	SPO1454				1.92E+06	1.96E+06	1.91E+06
SPO1455	SPO1455				809056	779376	853702
SPO1456	SPO1456				168471	160964	198294
SPO1457	SPO1457				3.30E+06	3.13E+06	3.22E+06
SPO1458	SPO1458				1.02E+06	1.02E+06	929288
SPO1459	SPO1459				1.07E+06	1.14E+06	1.03E+06
SPO1460	SPO1460				967860	1.05E+06	921436
SPO1461	SPO1461				1.68E+06	1.77E+06	1.63E+06
SPO1462	SPO1462				491692	546119	521429
SPO1463	SPO1463				254702	320029	297170
SPO1464	SPO1464				458916	472210	525159
SPO1465	SPO1465				4.44E+06	4.39E+06	4.08E+06
SPO1466	SPO1466				1.46E+06	1.45E+06	1.47E+06
SPO1467	SPO1467				1.39E+06	1.43E+06	1.37E+06
SPO1468	SPO1468				588802	607704	585713
SPO1469	SPO1469				1.10E+06	918968	936233
SPO1470	SPO1470				271049	245938	253252
SPO1471	SPO1471				401775	395192	380930
SPO1472	SPO1472				384376	409456	415148
SPO1473	SPO1473				164420	162966	140217
SPO1474	SPO1474				268350	271184	276912
SPO1475	SPO1475				342794	344396	329177
SPO1476	SPO1476				434791	414965	421399
SPO1477	SPO1477				213993	194258	174828
SPO1478	SPO1478				375290	401906	358165
SPO1479	SPO1479				493440	469468	482337
SPO1480	SPO1480				141073	130368	123625
SPO1481	SPO1481				42025.3	35457.8	45808
SPO1482	SPO1482				1.29E+06	1.44E+06	1.16E+06
SPO1483	SPO1483				313300	321233	297479
SPO1484	SPO1484					84140.2	171981
SPO1485	SPO1485					45686.4	80141.8
SPO1486	SPO1486				286459	258374	242264
SPO1488	SPO1488				555390	515664	538756
SPO1489	SPO1489				226953	233451	296214
SPO1490	SPO1490				207232	232976	213252
SPO1491	SPO1491				210620	206113	210383
SPO1492	SPO1492				61065.6	45570.2	49428.2
SPO1493	SPO1493				62096.1	72729.9	55332.9
SPO1494	SPO1494				278947	271957	297888
SPO1495	SPO1495				1.41E+06	1.45E+06	1.35E+06
SPO1496	SPO1496				1.05E+06	976787	1.05E+06
SPO1497	SPO1497				5.73E+06	6.14E+06	5.83E+06
SPO1498	SPO1498				2.17E+07	2.12E+07	2.13E+07
SPO1499	SPO1499				2.09E+06	2.01E+06	2.02E+06
SPO1500	SPO1500				587255	615062	567199
SPO1501	SPO1501				324141	372909	446652
SPO1502	SPO1502				568036	623461	570691
SPO1503	SPO1503				539376	516526	501081
SPO1505	SPO1505				463019	423975	443422
SPO1506	SPO1506				310553	298899	311192
SPO1507	SPO1507				1.29E+06	1.23E+06	1.22E+06
SPO1508	SPO1508				564000	566319	548896
SPO1509	SPO1509						
SPO1510	SPO1510				69021	76927.8	82509.1
SPO1511	SPO1511				624895	610277	623209
SPO1512	SPO1512				1.78E+06	1.78E+06	1.66E+06
SPO1513	SPO1513				502397	482227	504105
SPO1514	SPO1514				813031	775387	784866
SPO1515	SPO1515				246730	242704	160974
SPO1516	SPO1516				200967	210568	201716
SPO1517	SPO1517				5.12E+06	5.11E+06	5.08E+06
SPO1518	SPO1518				2.57E+06	2.34E+06	2.44E+06
SPO1519	SPO1519				2.59E+06	2.53E+06	2.60E+06
SPO1520	SPO1520				4.77E+06	4.55E+06	4.57E+06
SPO1521	SPO1521				37327.6	87687.5	109820
SPO1522	SPO1522				931657	901036	851389
SPO1523	SPO1523				125348	131158	161652
SPO1524	SPO1524				113105	103893	110454
SPO1525	SPO1525				128797	123360	132406
SPO1526	SPO1526				310693	251892	285844
SPO1527	SPO1527					51326.8	42594.5
SPO1528	SPO1528				320027	261155	327032
SPO1530	SPO1530				500302	423525	291987
SPO1531	SPO1531				219933	199749	217261
SPO1532	SPO1532				674205	666482	667161
SPO1533	SPO1533				1.08E+06	1.04E+06	1.15E+06
SPO1535	SPO1535				271436	395815	348197
SPO1536	SPO1536				2.36E+06	2.37E+06	2.45E+06
SPO1537	SPO1537						82963.1
SPO1538	SPO1538				456599	487312	504517
SPO1540	SPO1540				65575.3	95025.2	98634.4
SPO1541	SPO1541				924623	946036	923492
SPO1542	SPO1542				1.53E+06	1.46E+06	1.43E+06
SPO1543	SPO1543				6.83E+06	6.85E+06	6.67E+06
SPO1544	SPO1544				346341	318614	352548
SPO1545	SPO1545				1.10E+06	1.05E+06	1.09E+06
SPO1546	SPO1546				1.10E+06	1.17E+06	1.15E+06
SPO1547	SPO1547				1.18E+06	1.20E+06	1.22E+06
SPO1548	SPO1548				212281	205383	149191
SPO1549	SPO1549				137836	149820	158922
SPO1551	SPO1551				2.62E+06	2.62E+06	2.38E+06
SPO1552	SPO1552				1.39E+06	1.47E+06	1.35E+06
SPO1553	SPO1553				3.74E+06	3.67E+06	3.64E+06
SPO1554	SPO1554				60830.5	86761.6	93674.4
SPO1556	SPO1556				2.84E+06	3.81E+06	3.86E+06
SPO1557	SPO1557				8.85E+06	8.72E+06	8.84E+06
SPO1558	SPO1558				189582	224155	167506
SPO1559	SPO1559				5.73E+06	5.24E+06	5.47E+06
SPO1560	SPO1560				567620	538506	538308
SPO1562	SPO1562				2.80E+06	2.72E+06	2.78E+06
SPO1563	SPO1563				51404.4	58440	37467.9
SPO1564	SPO1564				751829	739630	637798
SPO1565	SPO1565				1.47E+06	1.47E+06	1.47E+06
SPO1566	SPO1566				879285	856845	851150
SPO1567	SPO1567				447491	429836	438953
SPO1568	SPO1568				349016	373218	365747
SPO1569	SPO1569				117924	137496	121444
SPO1570	SPO1570				104956	104402	122656
SPO1571	SPO1571						179310
SPO1572	SPO1572				6.91E+07	6.76E+07	6.95E+07
SPO1573	SPO1573				1.50E+06	1.50E+06	1.52E+06
SPO1574	SPO1574				1.53E+06	1.63E+06	1.61E+06
SPO1575	SPO1575				738244	764944	792730
SPO1576	SPO1576				1.05E+06	963749	969507
SPO1579	SPO1579				1.30E+06	1.30E+06	1.33E+06
SPO1580	SPO1580				427067	448526	428244
SPO1581	SPO1581				451227	460217	422485
SPO1582	SPO1582				576761	572025	542366
SPO1583	SPO1583				5.09E+06	5.18E+06	5.00E+06
SPO1584	SPO1584				286204	294875	300231
SPO1585	SPO1585				95886.9	118702	132112
SPO1586	SPO1586				2.82E+06	2.40E+06	1.80E+06
SPO1587	SPO1587						
SPO1588	SPO1588				33604.7	52429	28669.8
SPO1589	SPO1589				2.31E+06	2.24E+06	2.21E+06
SPO1590	SPO1590				104077	105932	99813.2
SPO1591	SPO1591				582960	608462	547762
SPO1592	SPO1592				318831	312767	314820
SPO1593	SPO1593				718885	644911	594812
SPO1594	SPO1594				209895	211425	224855
SPO1595	SPO1595				213496	234938	213820
SPO1596	SPO1596				520333	476085	522900
SPO1597	SPO1597				1.00E+06	1.01E+06	1.05E+06
SPO1598	SPO1598				3.57E+06	3.47E+06	3.58E+06
SPO1599	SPO1599				133894	134413	140384
SPO1600	SPO1600				27505.9		
SPO1601	SPO1601				188048	157433	192833
SPO1602	SPO1602				192935	219401	210973
SPO1603	SPO1603				86706.6	64660.9	68474.6
SPO1604	SPO1604				495451	558118	481306
SPO1605	SPO1605				2.10E+06	2.06E+06	2.07E+06
SPO1606	SPO1606				5.66E+06	5.74E+06	5.43E+06
SPO1607	SPO1607				52342.9		42452.4
SPO1608	SPO1608				357302	369292	362200
SPO1609	SPO1609				1.35E+06	1.31E+06	1.27E+06
SPO1610	SPO1610				249948	257097	240565
SPO1612	SPO1612					1.03E+06	
SPO1614	SPO1614				726697	722288	697452
SPO1615	SPO1615				732114	737353	734681
SPO1620	SPO1620				1.15E+06	889763	987882
SPO1621	SPO1621				1.04E+06	1.04E+06	992177
SPO1622	SPO1622				1.54E+06	1.50E+06	1.44E+06
SPO1623	SPO1623				1.97E+06	1.93E+06	1.95E+06
SPO1624	SPO1624				2.05E+06	2.06E+06	1.96E+06
SPO1625	SPO1625				7.03E+06	8.44E+06	7.09E+06
SPO1626	SPO1626				532063	582436	498148
SPO1627	SPO1627				1.11E+06	1.11E+06	1.10E+06
SPO1628	SPO1628				619157	584583	574790
SPO1629	SPO1629				894227	870001	883230
SPO1630	SPO1630				436039	429885	488040
SPO1631	SPO1631				2.49E+06	2.37E+06	2.41E+06
SPO1632	SPO1632				3.02E+06	3.13E+06	3.19E+06
SPO1633	SPO1633				3.82E+06	3.66E+06	3.74E+06
SPO1634	SPO1634				985783	967410	948211
SPO1635	SPO1635				3.63E+06	3.72E+06	3.67E+06
SPO1636	SPO1636				1.72E+06	1.84E+06	1.84E+06
SPO1637	SPO1637				4.83E+07	4.65E+07	4.76E+07
SPO1638	SPO1638				899192	975150	787097
SPO1640	SPO1640				703445	672199	692686
SPO1641	SPO1641				540136	533231	562009
SPO1643	SPO1643				627717	619248	575732
SPO1647	SPO1647				268850	308123	302240
SPO1649	SPO1649				166735	117544	158001
SPO1656	SPO1656				2.33E+06	2.31E+06	2.31E+06
SPO1657	SPO1657				1.98E+06	1.91E+06	2.12E+06
SPO1658	SPO1658				1.17E+06	1.14E+06	1.09E+06
SPO1659	SPO1659				2.17E+07	2.18E+07	2.11E+07
SPO1660	SPO1660				676692	656680	673905
SPO1661	SPO1661				1.14E+06	1.22E+06	1.18E+06
SPO1662	SPO1662				1.36E+07	1.40E+07	1.43E+07
SPO1663	SPO1663				1.02E+06	978201	989042
SPO1664	SPO1664				2.92E+07	2.99E+07	2.92E+07
SPO1665	SPO1665				5.06E+06	5.06E+06	5.09E+06
SPO1666	SPO1666				448927	396609	494865
SPO1667	SPO1667				1.99E+06	1.90E+06	1.88E+06
SPO1668	SPO1668				5.60E+06	5.43E+06	5.24E+06
SPO1669	SPO1669				231087	157045	203164
SPO1670	SPO1670				1.48E+07	1.43E+07	1.51E+07
SPO1671	SPO1671				1.64E+06	1.59E+06	1.57E+06
SPO1672	SPO1672				8.84E+06	9.21E+06	1.02E+07
SPO1673	SPO1673				1.50E+07	1.38E+07	1.34E+07
SPO1674	SPO1674				3.86E+06	3.65E+06	3.67E+06
SPO1675	SPO1675				3.36E+06	3.39E+06	3.29E+06
SPO1676	SPO1676				1.39E+06	1.35E+06	1.29E+06
SPO1677	SPO1677				2.77E+06	2.63E+06	2.56E+06
SPO1678	SPO1678						
SPO1679	SPO1679				1.33E+06	1.17E+06	1.36E+06
SPO1680	SPO1680				5.57E+06	5.48E+06	5.46E+06
SPO1681	SPO1681				1.76E+06	1.79E+06	1.79E+06
SPO1683	SPO1683				1.14E+06	1.07E+06	1.09E+06
SPO1684	SPO1684				1.88E+06	1.63E+06	2.06E+06
SPO1685	SPO1685				616234	555665	605106
SPO1686	SPO1686				3.57E+06	3.50E+06	3.47E+06
SPO1687	SPO1687				8.95E+06	8.77E+06	8.60E+06
SPO1688	SPO1688				573787	443183	484831
SPO1689	SPO1689				965071	749467	660965
SPO1690	SPO1690				1.59E+06	1.57E+06	1.59E+06
SPO1691	SPO1691				7.53E+07	7.35E+07	7.70E+07
SPO1692	SPO1692				1.34E+08	1.40E+08	1.42E+08
SPO1693	SPO1693				3.06E+06	3.04E+06	3.15E+06
SPO1694	SPO1694				3.17E+06	3.14E+06	3.28E+06
SPO1695	SPO1695				842345	891362	832179
SPO1696	SPO1696				445920	421370	444017
SPO1697	SPO1697				360162	369393	370924
SPO1698	SPO1698				75372.5	58955.1	67305.9
SPO1699	SPO1699				179947	136959	138033
SPO1700	SPO1700				2.97E+06	3.00E+06	3.06E+06
SPO1701	SPO1701				695078	710907	678831
SPO1703	SPO1703				244476	262068	242551
SPO1704	SPO1704				383619	390926	320049
SPO1707	SPO1707				48078.8	53371.1	58668.8
SPO1707a	SPO1707a				4.27E+06	5.06E+06	239190
SPO1708	SPO1708				20524.7		
SPO1709	SPO1709				67635.4	211185	496134
SPO1710	SPO1710				2.79E+06	385585	1.69E+06
SPO1711	SPO1711				70943.6	214371	
SPO1712	SPO1712				134747		558428
SPO1713	SPO1713				177705	157566	
SPO1714	SPO1714				99000.1	242638	111194
SPO1715	SPO1715						
SPO1716	SPO1716						
SPO1717	SPO1717				352070	345399	373178
SPO1719	SPO1719				44506.3	60766.6	41702.7
SPO1720	SPO1720				90091.2	94133.6	58621.7
SPO1721	SPO1721				4.82E+06	4.64E+06	4.50E+06
SPO1722	SPO1722				684268	646080	604994
SPO1723	SPO1723				242776	247374	243503
SPO1724	SPO1724				511836	453953	510833
SPO1725	SPO1725				4.46E+06	4.26E+06	4.18E+06
SPO1727	SPO1727				5.00E+06	5.10E+06	5.12E+06
SPO1728	SPO1728				1.18E+06	1.16E+06	1.24E+06
SPO1729	SPO1729				7.05E+06	7.22E+06	7.35E+06
SPO1732	SPO1732				1.82E+06	1.81E+06	1.84E+06
SPO1733	SPO1733				1.99E+07	1.92E+07	1.97E+07
SPO1734	SPO1734				1.36E+07	1.40E+07	1.42E+07
SPO1735	SPO1735				114911	146762	113854
SPO1736	SPO1736				2.96E+06	3.06E+06	3.03E+06
SPO1737	SPO1737				1.61E+06	1.52E+06	1.55E+06
SPO1738	SPO1738				778870	741355	792853
SPO1739	SPO1739				4.03E+06	3.79E+06	3.98E+06
SPO1740	SPO1740				124461	109006	112247
SPO1741	SPO1741				72783.1	65073.6	86534.9
SPO1742	SPO1742				805830	802445	748406
SPO1743	SPO1743				2.33E+07	2.29E+07	2.39E+07
SPO1744	SPO1744				2.78E+06	2.77E+06	2.83E+06
SPO1745	SPO1745				387314	353400	388179
SPO1746	SPO1746				1.57E+06	1.57E+06	1.59E+06
SPO1747	SPO1747				1.26E+06	1.21E+06	1.27E+06
SPO1748	SPO1748				449351	526991	417171
SPO1749	SPO1749				2.14E+06	2.21E+06	2.19E+06
SPO1750	SPO1750				1.15E+07	1.06E+07	1.16E+07
SPO1751	SPO1751				3.42E+06	3.48E+06	3.41E+06
SPO1752	SPO1752				459916	469695	467080
SPO1753	SPO1753				6.13E+06	6.10E+06	6.01E+06
SPO1754	SPO1754				1.88E+06	1.84E+06	1.78E+06
SPO1755	SPO1755				1.25E+06	1.21E+06	1.27E+06
SPO1756	SPO1756				1.69E+07	1.73E+07	1.70E+07
SPO1757	SPO1757				781589	819854	797907
SPO1759	SPO1759				3.27E+06	2.80E+06	2.97E+06
SPO1760	SPO1760				34547.7		45275.9
SPO1761	SPO1761				8.69E+06	8.80E+06	8.58E+06
SPO1762	SPO1762				5.07E+06	4.91E+06	4.91E+06
SPO1763	SPO1763				5.21E+06	5.55E+06	5.02E+06
SPO1764	SPO1764				1.21E+06	1.15E+06	1.16E+06
SPO1766	SPO1766				195577	172837	179861
SPO1767	SPO1767				2.26E+06	2.29E+06	2.27E+06
SPO1769	SPO1769				2.92E+06	2.88E+06	2.79E+06
SPO1770	SPO1770				7.09E+06	7.79E+06	7.34E+06
SPO1771	SPO1771				847978	858427	907006
SPO1772	SPO1772				1.02E+06	1.03E+06	1.05E+06
SPO1773	SPO1773				1.02E+07	1.02E+07	1.01E+07
SPO1774	SPO1774				1.94E+06	2.04E+06	1.95E+06
SPO1775	SPO1775				1.60E+06	1.45E+06	1.45E+06
SPO1776	SPO1776				1.91E+06	1.91E+06	1.84E+06
SPO1777	SPO1777				1.38E+06	1.34E+06	1.28E+06
SPO1778	SPO1778				45538.9		
SPO1779	SPO1779				493500	521171	491660
SPO1780	SPO1780				1.64E+06	1.68E+06	1.53E+06
SPO1781	SPO1781				2.89E+06	3.02E+06	2.82E+06
SPO1782	SPO1782				343573	358999	330234
SPO1783	SPO1783				3.04E+06	3.09E+06	2.90E+06
SPO1784	SPO1784				1.54E+06	1.54E+06	1.43E+06
SPO1785	SPO1785				911344	875125	881916
SPO1786	SPO1786				819237	834252	837474
SPO1787	SPO1787				409700	477009	403906
SPO1788	SPO1788				1.13E+07	1.18E+07	1.10E+07
SPO1789	SPO1789				367493	385536	366561
SPO1790	SPO1790				1.74E+06	1.68E+06	1.68E+06
SPO1791	SPO1791				1.48E+07	1.45E+07	1.45E+07
SPO1792	SPO1792				1.49E+06	1.44E+06	1.47E+06
SPO1794	SPO1794				177071	181136	191387
SPO1795	SPO1795				732793	699145	670705
SPO1796	SPO1796				790670	804115	782226
SPO1797	SPO1797				148694	34123.8	
SPO1798	SPO1798				225014	264685	255753
SPO1799	SPO1799				96803.1	96282.5	93724.7
SPO1800	SPO1800				888427	860728	845852
SPO1801	SPO1801				454060	498512	452899
SPO1802	SPO1802				6.19E+06	5.84E+06	6.22E+06
SPO1803	SPO1803				1.26E+07	1.27E+07	1.25E+07
SPO1804	SPO1804				2.73E+06	2.61E+06	2.59E+06
SPO1805	SPO1805				2.51E+06	2.54E+06	2.53E+06
SPO1806	SPO1806				2.04E+06	1.91E+06	1.93E+06
SPO1807	SPO1807				268507	239924	196221
SPO1808	SPO1808				328356	310266	311499
SPO1809	SPO1809				829883	858271	874249
SPO1810	SPO1810				444343	384102	393322
SPO1811	SPO1811				17203.6	27002	21381.9
SPO1812	SPO1812				2.58E+06	2.56E+06	2.55E+06
SPO1813	SPO1813				7.11E+06	6.75E+06	6.86E+06
SPO1814	SPO1814				6.09E+06	6.39E+06	5.85E+06
SPO1815	SPO1815				645091	665783	648941
SPO1816	SPO1816				184486	147624	185007
SPO1818	SPO1818				115832		
SPO1820	SPO1820				162689	144320	176447
SPO1825	SPO1825				1.80E+06	1.70E+06	1.77E+06
SPO1826	SPO1826				959214	987262	971574
SPO1827	SPO1827				349812	364595	389856
SPO1828	SPO1828				1.27E+06	1.28E+06	1.28E+06
SPO1829	SPO1829				1.13E+06	1.15E+06	1.15E+06
SPO1830	SPO1830				2.55E+06	2.58E+06	2.30E+06
SPO1831	SPO1831				995215	1.01E+06	1.02E+06
SPO1832	SPO1832				132333	126126	143875
SPO1833	SPO1833				79311.3	88837.9	94804.1
SPO1834	SPO1834				3.08E+06	3.02E+06	3.01E+06
SPO1835	SPO1835				3.60E+06	3.62E+06	3.46E+06
SPO1836	SPO1836				792181	798379	751669
SPO1837	SPO1837				30492		31487.3
SPO1838	SPO1838				245331	235740	234482
SPO1839	SPO1839				5.10E+06	5.07E+06	4.78E+06
SPO1840	SPO1840				506799	464561	483316
SPO1841	SPO1841				524929	514656	536640
SPO1842	SPO1842				605015	627794	588142
SPO1843	SPO1843				1.49E+06	1.54E+06	1.43E+06
SPO1844	SPO1844				772114	767823	747674
SPO1845	SPO1845				1.32E+06	1.29E+06	1.31E+06
SPO1846	SPO1846				3.21E+06	3.27E+06	3.44E+06
SPO1847	SPO1847				1.32E+06	1.23E+06	1.25E+06
SPO1848	SPO1848				334060	312020	348610
SPO1849	SPO1849				623869	602351	604374
SPO1850	SPO1850				112290	96676	107209
SPO1852	SPO1852				2.01E+07	2.10E+07	2.00E+07
SPO1853	SPO1853				1.79E+06	1.95E+06	2.02E+06
SPO1854	SPO1854				404606	409661	354908
SPO1855	SPO1855				1.26E+07	8.75E+06	1.03E+07
SPO1856	SPO1856				728251	695718	705476
SPO1857	SPO1857				38455.9		26594.2
SPO1858	SPO1858				3.11E+06	3.05E+06	3.06E+06
SPO1859	SPO1859				1.16E+06	1.14E+06	1.11E+06
SPO1860	SPO1860				5.79E+06	5.81E+06	5.71E+06
SPO1861	SPO1861				2.25E+06	2.13E+06	2.37E+06
SPO1862	SPO1862				422991	406959	394482
SPO1863	SPO1863				6.01E+06	6.14E+06	5.67E+06
SPO1865	SPO1865				3.36E+07	3.50E+07	3.44E+07
SPO1866	SPO1866				6.74E+06	6.22E+06	5.73E+06
SPO1867	SPO1867				2.59E+06	2.44E+06	2.35E+06
SPO1868	SPO1868				1.41E+07	1.34E+07	1.37E+07
SPO1869	SPO1869				6.06E+06	6.47E+06	6.67E+06
SPO1870	SPO1870				1.92E+07	1.92E+07	1.86E+07
SPO1871	SPO1871				4.12E+06	4.09E+06	4.66E+06
SPO1872	SPO1872				2.08E+06	2.20E+06	2.08E+06
SPO1873	SPO1873				1.57E+07	1.55E+07	1.56E+07
SPO1874	SPO1874				1.29E+06	1.22E+06	1.29E+06
SPO1875	SPO1875				4.30E+06	4.42E+06	4.25E+06
SPO1876	SPO1876				3.95E+06	3.91E+06	4.15E+06
SPO1877	SPO1877				5.25E+06	5.27E+06	5.29E+06
SPO1878	SPO1878						
SPO1880	SPO1880				3.19E+06	3.01E+06	3.20E+06
SPO1881	SPO1881				2.02E+06	1.97E+06	2.04E+06
SPO1882	SPO1882				1.57E+07	1.56E+07	1.55E+07
SPO1883	SPO1883				444589	510029	473740
SPO1884	SPO1884				1.16E+07	1.08E+07	1.13E+07
SPO1886	SPO1886				3.41E+06	3.26E+06	3.19E+06
SPO1887	SPO1887				9.32E+06	9.38E+06	9.33E+06
SPO1888	SPO1888				1.82E+07	1.79E+07	1.86E+07
SPO1889	SPO1889				2.68E+06	2.63E+06	2.60E+06
SPO1890	SPO1890				7.65E+06	7.37E+06	7.33E+06
SPO1891	SPO1891				3.36E+06	3.30E+06	3.30E+06
SPO1892	SPO1892				4.46E+07	4.39E+07	4.27E+07
SPO1893	SPO1893				1.63E+07	1.64E+07	1.65E+07
SPO1895	SPO1895				1.17E+06	1.38E+06	1.31E+06
SPO1896	SPO1896				1.43E+06	1.49E+06	1.42E+06
SPO1897	SPO1897				1.40E+06	1.36E+06	1.42E+06
SPO1898	SPO1898				705480	745132	739602
SPO1899	SPO1899				2.02E+07	2.02E+07	2.02E+07
SPO1900	SPO1900				5.96E+06	5.99E+06	5.88E+06
SPO1901	SPO1901				1.64E+06	1.58E+06	1.50E+06
SPO1902	SPO1902				1.46E+06	1.44E+06	1.35E+06
SPO1903	SPO1903				222922	213861	201536
SPO1904	SPO1904				15363.4		13133.1
SPO1905	SPO1905				1.97E+06	2.11E+06	1.96E+06
SPO1906	SPO1906				2.22E+06	2.16E+06	2.25E+06
SPO1907	SPO1907				2.27E+06	2.34E+06	2.69E+06
SPO1908	SPO1908				167185	136731	160080
SPO1909	SPO1909				198024	76683.3	
SPO1911	SPO1911						
SPO1912	SPO1912				533280	554153	515006
SPO1913	SPO1913				1.78E+06	1.84E+06	1.77E+06
SPO1914	SPO1914				7.21E+06	6.83E+06	7.18E+06
SPO1915	SPO1915				628461	634515	571830
