Accession Number	Annotation	1	2	3
SPO2400	Carbon monoxide dehydrogenase operon C protein	410029	465330	478116
SPO2401	Type I secretion target repeat protein	258096	91832.5	285035
SPO2409	"Oxidoreductase, short chain dehydrogenase/reductase family"	1.28E+06	1.02E+06	1.02E+06
SPO2410	"Dihydroxy-acid dehydratase, putative"	1.25E+06	1.19E+06	1.21E+06
SPO2411	Uncharacterized protein	128624	164582	193378
SPO2412	"Aldolase, putative"	389991	528585	491201
SPO2413	"Oxidoreductase, short chain dehydrogenase/reductase family"	327051	282505	294434
SPO2414	Mandelate racemase/muconate lactonizing enzyme family protein	399028		419722
SPO2415	Phytanoyl-CoA dioxygenase family protein	167074	131493	133586
SPO2416	3-hydroxyisobutyrate dehydrogenase family protein
SPO2417	Gluconate 5-dehydrogenase (EC 1.1.1.69)	566268	518219	490831
SPO2418	Cysteine/O-acetylserine efflux protein
SPO2419	Fumarylacetoacetase-like C-terminal domain-containing protein	530704	663890	676701
SPO2420	KDG kinase	668424	467067	570045
SPO2421	NAD-dependent epimerase/dehydratase domain-containing protein	766143	684178	729836
SPO2422	D-isomer specific 2-hydroxyacid dehydrogenase family protein	1.45E+06	1.54E+06	1.54E+06
SPO2424	L-idonate 5-dehydrogenase (EC 1.1.1.264)	456279	576616	568435
SPO2425	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	100122	66804.4	62436.6
SPO2427	"Oxidoreductase, short chain dehydrogenase/reductase family"	627245	519546	531440
SPO2428	6-phosphogluconate dehydrogenase domain protein	930599	801336	785532
SPO2429	"Oxidoreductase, Gfo/Idh/MocA family"
SPO2430	"Hydrolase, UxaA family"	258937	123247	164500
SPO2431	"TRAP dicarboxylate transporter, DctM subunit"
SPO2433	"TRAP dicarboxylate transporter, DctP subunit, putative"	305623	315481	289922
SPO2434	"Transcriptional regulator, GntR family"	2.68E+06	3.24E+06	3.12E+06
SPO2435	Fumarylacetoacetate hydrolase family protein	1.23E+07	1.42E+07	1.41E+07
SPO2436	FAD dependent oxidoreductase/aminomethyl transferase	263269	288714	289866
SPO2437	Asp/Glu/Hydantoin racemase family protein		184269	131684
SPO2438	Phytanoyl-CoA dioxygenase family protein	213117	250878	240115
SPO2439	"Transcriptional regulator, GntR family"	361002	374274	321841
SPO2440	"Metallopeptidase, family M24"	674666	1.05E+06	1.01E+06
SPO2441	"Glycine betaine/proline ABC transporter, periplasmic glycine betaine/proline-binding protein"	462412	820940	803195
SPO2442	"Glycine betaine/proline ABC transporter, permease protein"	182549	212930	162779
SPO2443	"Glycine betaine/proline ABC transporter, ATP-binding protein"	310459	303176	351610
SPO2444	Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase)	8.27E+07	6.81E+07	6.95E+07
SPO2445	Bcr/CflA family efflux transporter
SPO2446	"ABC transporter, ATP-binding protein"	2.16E+06	2.15E+06	2.14E+06
SPO2447	"Acetyltransferase, GNAT family"	683969	703573	690338
SPO2448	UPF0056 inner membrane protein		34673.1
SPO2449	Peptidase A2 domain-containing protein	1.36E+06	1.97E+06	2.03E+06
SPO2450	Asp/Glu/Hydantoin racemase family protein	1.32E+06	1.54E+06	1.55E+06
SPO2451	"Acyltransferase, putative"	349504	245193	385382
SPO2452	"DNA polymerase III, chi subunit, putative"	911838	876982	988028
SPO2453	Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase)	1.26E+07	1.07E+07	1.06E+07
SPO2454	"Permease, YjgP/YjgQ family"	942594	1.01E+06	1.04E+06
SPO2455	LPS-assembly protein LptD	1.93E+06	2.26E+06	2.16E+06
SPO2456	Parvulin-like PPIase (Peptidyl-prolyl cis-trans isomerase plp) (Rotamase plp)	7.52E+06	9.64E+06	9.54E+06
SPO2457	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	2.21E+06	2.27E+06	2.37E+06
SPO2458	"Ribosomal RNA small subunit methyltransferase A (EC 2.1.1.182) (16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase) (16S rRNA dimethyladenosine transferase) (16S rRNA dimethylase) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase)"	2.00E+06	2.07E+06	2.00E+06
SPO2459	DUF4167 domain-containing protein	1.23E+07	1.22E+07	1.26E+07
SPO2460	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (N5-glutamine methyltransferase PrmC) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	879186	818113	871396
SPO2461	Peptide chain release factor 1 (RF-1)	2.28E+06	2.90E+06	2.93E+06
SPO2462	Uncharacterized protein	5152.73	22426.2	41896.2
SPO2463	DUF1499 domain-containing protein	1.16E+06	682752	679954
SPO2464	Agmatinase (EC 3.5.3.11)	3.51E+06	4.01E+06	4.17E+06
SPO2465	HTH hxlR-type domain-containing protein	89739.5	111282	105984
SPO2466	Glyoxalase family protein	174376	406765	512505
SPO2467	Agmatinase (EC 3.5.3.11)	5.00E+06	6.01E+06	6.14E+06
SPO2468	Amidohydrolase family protein	3.90E+06	4.97E+06	4.93E+06
SPO2469	MazG family protein	4.20E+06	4.70E+06	4.55E+06
SPO2470	Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)	3.03E+06	3.47E+06	3.81E+06
SPO2471	"Acetyltransferase, GNAT family"	1.11E+06	886740	949124
SPO2473	(S)-2-haloacid dehalogenase (EC 3.8.1.2) (2-haloalkanoic acid dehalogenase) (Halocarboxylic acid halidohydrolase) (L-2-haloacid dehalogenase)	1.30E+06	1.33E+06	1.33E+06
SPO2474	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	2.89E+07	3.14E+07	3.06E+07
SPO2475	"Membrane protein, putative"	124186	342771	135830
SPO2476	"Lipoprotein, putative"	3.98E+06	3.52E+06	3.50E+06
SPO2477	Ferric uptake regulation protein	4.65E+06	4.02E+06	4.13E+06
SPO2478	RNA helicase	9.15E+06	8.22E+06	7.15E+06
SPO2479	DUF985 domain-containing protein	1.56E+06	2.01E+06	1.88E+06
SPO2480	Protein adenylyltransferase SelO (EC 2.7.7.108)	3.31E+06	3.25E+06	3.17E+06
SPO2482	Endonuclease/exonuclease/phosphatase family protein	521796	534559	553050
SPO2483	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170) (AnhMurNAc kinase)	1.87E+06	2.02E+06	1.99E+06
SPO2484	Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)	1.20E+07	1.23E+07	1.15E+07
SPO2486	BioF2-like acetyltransferase domain-containing protein	39382.5	23010.5	29395.1
SPO2487	"3-hydroxyacyl-CoA dehydrogenase, type II (EC 1.1.1.35)"	3.09E+06	2.79E+06	2.92E+06
SPO2488	"ABC transporter, ATP-binding protein"	1.51E+06	1.62E+06	1.64E+06
SPO2489	L-ornithine N(alpha)-acyltransferase (EC 2.3.2.30)	1.27E+06	1.12E+06	1.34E+06
SPO2490	"Lipoprotein, SmpA/OmlA family"	6.89E+06	6.92E+06	6.86E+06
SPO2491	DUF177 domain-containing protein	1.28E+06	2.07E+06	2.08E+06
SPO2492	Large ribosomal subunit protein bL32 (50S ribosomal protein L32)	3.01E+06	6.26E+06	7.40E+06
SPO2493	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	2.78E+06	2.54E+06	2.63E+06
SPO2494	Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III)	7.31E+06	7.54E+06	7.92E+06
SPO2495	Integration host factor subunit alpha (IHF-alpha)	1.68E+07	1.41E+07	1.42E+07
SPO2496	"Transcriptional regulator, MerR family"	4.30E+06	3.53E+06	3.41E+06
SPO2498	2''-deoxycytidine 5''-triphosphate deaminase-like protein	3.72E+06	4.46E+06	4.63E+06
SPO2499	Uncharacterized protein	2.72E+06	1.96E+06	2.15E+06
SPO2500	Segregation and condensation protein B	3.39E+06	2.56E+06	2.62E+06
SPO2501	Segregation and condensation protein A	1.33E+06	1.83E+06	1.87E+06
SPO2502	beta-N-acetylhexosaminidase (EC 3.2.1.52)	2.78E+06	2.22E+06	2.44E+06
SPO2503	SPOR domain-containing protein	2.08E+06	2.62E+06	2.64E+06
SPO2504	Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	1.16E+07	1.25E+07	1.22E+07
SPO2505	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	2.42E+06	2.55E+06	2.45E+06
SPO2506	Iron-sulfur cluster assembly family protein	3.42E+06	6.30E+06	6.34E+06
SPO2507	"Membrane protein, putative"	256837	213216	250796
SPO2509	Exodeoxyribonuclease III (EC 3.1.11.2)	1.04E+07	1.03E+07	1.01E+07
SPO2510	Salicylate hydroxylase (EC 1.14.13.1)	1.08E+06	742869	802718
SPO2511	RNA polymerase-binding transcription factor DksA	5.60E+06	6.12E+06	5.97E+06
SPO2512	"ATPase, AAA family"	7.55E+06	7.56E+06	7.59E+06
SPO2513	Lipoprotein	1.27E+06	1.35E+06	1.28E+06
SPO2515	VWA containing CoxE family protein	1.52E+06	1.60E+06	1.72E+06
SPO2516	Lipoprotein	42981.4
SPO2517	"Peptidase, M48 family"	1.64E+06	1.27E+06	1.26E+06
SPO2518	Bacterial luciferase family protein	2.43E+06	2.34E+06	2.43E+06
SPO2519	PIN domain-containing protein	1.02E+06	894961	934813
SPO2520	PUA domain-containing protein	3.46E+06	3.07E+06	3.04E+06
SPO2521	"Lipoprotein, putative"	553973	697426	667617
SPO2522	Uncharacterized protein	694326	959486	980346
SPO2523	Glutamate-ammonia ligase adenylyltransferase (EC 2.7.7.42)	1.86E+06	1.79E+06	1.76E+06
SPO2524	YbaK/prolyl-tRNA synthetases domain protein	412758	375699	418919
SPO2527	6-aminohexanoate-cyclic-dimer hydrolase (EC 3.5.2.12)	695618	701022	689971
SPO2528	AMP-binding enzyme	392157	351578	338744
SPO2529	Amidohydrolase 3 domain-containing protein	277939	239545	229191
SPO2530	"Branched-chain amino acid ABC transporter, permease protein"
SPO2532	"Branched-chain amino acid ABC transporter, ATP-binding protein"			38887
SPO2533	"Branched-chain amino acid ABC transporter, ATP-binding protein"
SPO2534	"Branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid-binding protein, putative"		171812	162201
SPO2535	Histone deacetylase/AcuC/AphA family protein
SPO2536	"Transcriptional regulator, LuxR family"	155164	141370	148930
SPO2538	Acyl-CoA dehydrogenase famiy protein	379811	365388	332526
SPO2539	AMP-binding enzyme	574702	469719	440388
SPO2540	"Carbamoyl-phosphate synthase, putative"	293528	354423	266024
SPO2541	"Propionyl-CoA carboxylase, putative"	50725.1	50847.5	36542
SPO2543	"Transcriptional regulator, GntR family"	4.23E+06	3.23E+06	3.32E+06
SPO2544	Amidohydrolase family protein	795433	569965	573710
SPO2545	"TRAP dicarboxylate transporter, DctP subunit, putative"	404710	674274	663731
SPO2548	"Oxidoreductase, zinc-binding dehydrogenase family"	580843	543533	571847
SPO2549	Phosphotransferase family protein	82050.8	28227.1
SPO2550	"Transcriptional regulator, GntR family"	944707	1.22E+06	1.15E+06
SPO2551	"Peptide/opine/nickel uptake family ABC transporter, ATP-binding protein"	65078.1	137323	185582
SPO2552	"Peptide/opine/nickel uptake family ABC transporter, permease/ATP-binding protein"	311581	257373	301432
SPO2553	"Peptide/opine/nickel uptake family ABC transporter, permease protein"
SPO2554	"Peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein"	107635	226871	225092
SPO2555	Major pilin protein fimA	32227.2	50508.4	44171.6
SPO2556	"N-carbamyl-L-amino acid amidohydrolase, putative"	38963.9	48768.4	32897.2
SPO2559	Gluconolactonase (EC 3.1.1.17)		23211.2
SPO2560	L-threonate dehydrogenase (EC 1.1.1.411)	1.96E+06	2.17E+06	2.13E+06
SPO2561	3-oxo-tetronate kinase (EC 2.7.1.217) (3-dehydrotetronate 4-kinase)	1.38E+06	1.44E+06	1.43E+06
SPO2562	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	2.65E+06	2.28E+06	2.27E+06
SPO2563	"Hydroxypyruvate isomerase, putative"	1.99E+06	2.38E+06	2.44E+06
SPO2565	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	621841	516209	555450
SPO2566	Glyoxalase family protein	1.73E+06	1.47E+06	1.56E+06
SPO2567	DUF2852 domain-containing protein	1.46E+06	1.42E+06	1.68E+06
SPO2568	RDD family protein	1.70E+06	2.09E+06	2.01E+06
SPO2569	Aspartate/glutamate leucyltransferase (EC 2.3.2.29)	721515	586142	566710
SPO2570	Glyoxalase family protein	2.47E+06	3.38E+06	3.27E+06
SPO2571	"TRAP transporter, DctM subunit, putative"	9.75E+06	1.30E+07	1.29E+07
SPO2572	TRAP transporter small permease protein	2.36E+06	6.02E+06	5.91E+06
SPO2573	"Bacterial extracellular solute-binding protein, family 7"	5.58E+07	6.07E+07	5.93E+07
SPO2574	Oxygen sensor histidine kinase NreB (EC 2.7.13.3) (Nitrogen regulation protein B)	1.54E+06	1.46E+06	1.45E+06
SPO2575	"DNA-binding response regulator, LuxR family"	3.14E+06	3.88E+06	3.60E+06
SPO2576	"Transcriptional regulator, TetR family"	189260	176563	202124
SPO2577	"Membrane protein, putative"	125598	147183	147444
SPO2578	Acetolactate synthase (EC 2.2.1.6)	1.22E+07	1.44E+07	1.46E+07
SPO2579	Acetolactate synthase small subunit (AHAS) (ALS) (EC 2.2.1.6) (Acetohydroxy-acid synthase small subunit)	1.58E+07	1.72E+07	1.75E+07
SPO2580	Uncharacterized protein	213336	136832	205988
SPO2581	"DNA-binding protein, putative"	1.68E+06	1.79E+06	1.66E+06
SPO2582	"Membrane protein, putative"	2.05E+06	2.41E+06	2.38E+06
SPO2583	Amidase family protein	6.94E+06	8.09E+06	7.58E+06
SPO2584	Glyoxalase family protein	420539	450173	441788
SPO2585	Peptide chain release factor 2 (RF-2)	9.21E+06	9.00E+06	9.15E+06
SPO2587	Penicillin-binding protein 1A (EC 2.4.99.28) (EC 3.4.16.4)	6.68E+06	7.16E+06	6.89E+06
SPO2588	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	2.04E+06	2.48E+06	2.38E+06
SPO2589	Aminotransferase (EC 2.6.1.-)	5.38E+06	5.82E+06	5.53E+06
SPO2590	"Peptidase, M48 family"	3.65E+06	3.31E+06	3.26E+06
SPO2591	"27 kDa outer membrane protein, putative"	1.20E+07	2.05E+07	2.02E+07
SPO2592	"Beta-lactamase, putative"	652946	824543	733760
SPO2594	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)	6.37E+06	6.63E+06	6.81E+06
SPO2595	Cytoskeleton protein RodZ-like C-terminal domain-containing protein	1.48E+06	1.42E+06	1.50E+06
SPO2596	5-aminolevulinate synthase (EC 2.3.1.37) (5-aminolevulinic acid synthase) (Delta-ALA synthase) (Delta-aminolevulinate synthase)	2.45E+06	2.26E+06	2.32E+06
SPO2597	"Peptidase, M20/M25/M40 family"	2.19E+07	2.26E+07	2.28E+07
SPO2598	Glycosyl transferase family 2	1.30E+06	1.92E+06	1.91E+06
SPO2601	Pirin domain protein	667527	562953	502422
SPO2602	"Transcriptional regulator, RpiR family"	690678	673744	731447
SPO2603	N-formylglutamate amidohydrolase family protein	491840	480235	523839
SPO2604	TRAP transporter small permease protein	53078.2	84862.4	82746.1
SPO2605	"TRAP dicarboxylate transporter, DctM subunit"	370866	461261	436169
SPO2606	"Bacterial extracellular solute-binding protein, family 7"	1.08E+07	1.16E+07	1.19E+07
SPO2607	"Gamma-glutamylisopropylamide synthetase, putative"	3.74E+06	3.87E+06	4.12E+06
SPO2608	"Aldehyde dehydrogenase, putative"	6.04E+06	5.23E+06	5.44E+06
SPO2609	"Alcohol dehydrogenase, iron-containing"	8.92E+06	7.13E+06	7.10E+06
SPO2610	Porin domain-containing protein	1.02E+06	1.09E+06	1.07E+06
SPO2612	"DNA-binding protein HU, putative"	1.04E+07	6.82E+06	8.07E+06
SPO2613	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	1.60E+07	1.76E+07	1.86E+07
SPO2614	Lipocalin-like domain-containing protein	889367	1.25E+06	1.25E+06
SPO2615	"NADH-dependent flavin oxidoreductase, Oye family"	2.63E+08	2.27E+08	2.48E+08
SPO2616	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	3.29E+06	2.80E+06	2.84E+06
SPO2617	SPFH domain/band 7 family protein	7.53E+06	8.40E+06	8.28E+06
SPO2618	NfeD-like C-terminal domain-containing protein	2.12E+06	1.57E+06	1.75E+06
SPO2619	MIP18 family-like domain-containing protein	247482	392543	481244
SPO2620	Iron-sulfur cluster assembly accessory protein	2.58E+06	1.61E+06	1.98E+06
SPO2621	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	2.07E+06	4.00E+06	4.48E+06
SPO2622	"Acetyltransferase, GNAT family"	523380	594423	627382
SPO2624	"Transcriptional regulator, AsnC family"	840183	1.12E+06	1.05E+06
SPO2625	Methyltransferase type 11 domain-containing protein	749903	589504	643892
SPO2626	"TRAP transporter, DctM subunit"	135160	108757	74826.9
SPO2627	TRAP transporter small permease protein	1.44E+06	1.58E+06	1.62E+06
SPO2628	"TRAP transporter solute receptor, DctP family"	7.69E+06	6.90E+06	6.70E+06
SPO2629	C4-dicarboxylate transport transcriptional regulatory protein	2.65E+06	2.86E+06	2.53E+06
SPO2630	histidine kinase (EC 2.7.13.3)	609752	731308	772135
SPO2631	"Transcriptional regulator, AsnC family"	1.09E+07	1.57E+07	1.57E+07
SPO2632	uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	362197	464646	571490
SPO2633	Sulfite reductase	6.38E+06	8.32E+06	8.62E+06
SPO2634	"Sulfite reductase, putative"	1.43E+07	1.78E+07	1.86E+07
SPO2635	Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase)	2.05E+06	1.88E+06	2.35E+06
SPO2636	Oxidoreductase probably involved in sulfite reduction	1.19E+07	7.31E+06	8.30E+06
SPO2637	ferredoxin--NADP(+) reductase (EC 1.18.1.2)	1.14E+07	1.79E+07	2.02E+07
SPO2638	Translation initiation factor IF-3	2.35E+07	1.59E+07	1.61E+07
SPO2639	Molybdopterin biosynthesis protein	1.11E+06	932739	910833
SPO2640	XdhC/CoxI family protein	1.59E+06	1.88E+06	1.94E+06
SPO2643	Uncharacterized protein	60609		82876.3
SPO2644	VWA domain containing CoxE-like family protein	1.03E+06	928499	844222
SPO2645	Serine protease (EC 3.4.21.-)	2.86E+06	2.72E+06	2.78E+06
SPO2646	AAA+ ATPase domain-containing protein	2.74E+06	4.47E+06	4.35E+06
SPO2647	"Glycosyl transferase, group 2 family protein"	1.91E+06	1.91E+06	1.92E+06
SPO2648	Sulfotransferase family protein	2.36E+06	2.41E+06	2.49E+06
SPO2649	"Glycosyl transferase, group 2 family protein"	1.40E+06	1.61E+06	1.58E+06
SPO2650	"Methyltransferase, FkbM family"	6.28E+06	4.21E+06	4.29E+06
SPO2651	"Glycosyl transferase, group 2 family protein"	2.40E+06	2.50E+06	2.52E+06
SPO2652	Phosphoadenosine phosphosulfate reductase	2.82E+06	3.24E+06	2.97E+06
SPO2652a	Unknown	759076	851016	809173
SPO2653	Dihydroorotase (DHOase) (EC 3.5.2.3)	6.03E+06	7.02E+06	7.38E+06
SPO2654	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	1.25E+07	1.05E+07	1.06E+07
SPO2655	Replicative DNA helicase (EC 3.6.4.12)	2.36E+06	2.81E+06	2.79E+06
SPO2656	"Transcriptional regulator, LysR family"	512376	556155	474440
SPO2657	ACC deaminase/D-cysteine desulfhydrase family	230725		186643
SPO2658	"Glutamate/aspartate ABC transporter, periplasmic substrate-binding protein"	1.10E+06	1.47E+06	1.33E+06
SPO2659	"Glutamate/aspartate ABC transporter, permease protein"		21706.5	22926
SPO2660	"Glutamate/aspartate ABC transporter, permease protein"	87165	78051.7	112490
SPO2661	"Glutamate/aspartate ABC transporter, ATP-binding protein"	256774	291869	279025
SPO2662	"Aspartate racemase, putative"
SPO2666	"Polar amino acid uptake family ABC transporter, permease protein"	398726	449521
SPO2668	"Transcriptional regulator, LysR family"	868155	922449	752912
SPO2669	2-oxoglutarate-dependent ethylene/succinate-forming enzyme (EC 1.13.12.19) (EC 1.14.20.7) (2-oxoglutarate dioxygenase (ethylene-forming)) (2-oxoglutarate/L-arginine monooxygenase/decarboxylase (succinate-forming))	1.07E+06	1.15E+06	1.11E+06
SPO2670	Alanine racemase (EC 5.1.1.1)	5.34E+06	5.14E+06	5.26E+06
SPO2671	Membrane protein	241843	459636	458209
SPO2672	"ABC transporter, ATP-binding protein"	4.28E+06	5.22E+06	4.90E+06
SPO2673	"Paraquat-inducible protein A, putative"	646118	458510	380346
SPO2674	DNA repair protein RadA	2.99E+06	2.77E+06	2.69E+06
SPO2675	CvpA family protein	21067.4
SPO2676	Hedgehog/Intein (Hint) domain-containing protein	25402.5
SPO2677	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase) (GPATase)	1.36E+07	1.28E+07	1.26E+07
SPO2678	Uncharacterized protein	103776	63349.8	95141
SPO2679	"Oxidoreductase, short-chain dehydrogenase/reductase family"	9.25E+06	6.33E+06	6.43E+06
SPO2680	AAA+ ATPase domain-containing protein	9.50E+06	8.83E+06	9.18E+06
SPO2681	Sec-independent protein translocase protein TatC	1.62E+06	2.25E+06	2.31E+06
SPO2682	Sec-independent protein translocase protein TatB	1.08E+06	1.10E+06	1.14E+06
SPO2683	Sec-independent protein translocase protein TatA	6.93E+06	7.37E+06	6.79E+06
SPO2684	ABM domain-containing protein	258051	368159	373397
SPO2685	Transcriptional regulator	438579	419987	461365
SPO2686	LysM domain/M23/M37 peptidase	1.95E+07	1.90E+07	1.89E+07
SPO2687	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	1.58E+06	1.47E+06	1.45E+06
SPO2688	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	3.23E+06	3.09E+06	3.01E+06
SPO2689	"Iron ABC transporter, ATP-binding protein, putative"	2.34E+06	2.20E+06	2.27E+06
SPO2690	Methyltransferase domain-containing protein	2.71E+06	3.41E+06	3.68E+06
SPO2691	DNA alkylation repair enzyme	2.51E+06	2.22E+06	2.17E+06
SPO2692	"Oxidoreductase, short chain dehydrogenase/reductase family"	1.37E+07	1.18E+07	1.17E+07
SPO2693	Hint domain-containing protein	2.13E+06	2.26E+06	2.16E+06
SPO2694	Cytochrome c	592422	738269	720520
SPO2695	Peptide chain release factor 3 (RF-3)	2.19E+06	2.95E+06	2.85E+06
SPO2697	"Acyl-CoA synthetase, putative"	315286		248092
SPO2698	Acyl-CoA dehydrogenase family protein	272550	293997	287292
SPO2701	"Opine/polyamine ABC transporter, periplasmic substrate-binding protein"		10091.2	4818.66
SPO2702	"Opine/polyamine ABC transporter, ATP-binding protein"	1.21E+06	960145	840415
SPO2704	"Transcriptional regulator, AraC family"	89756.6	66369.9	83798
SPO2705	3-hydroxyacyl-CoA dehydrogenase family protein	126047	148984	149009
SPO2706	Carnitinyl-CoA dehydratase	42922.2	26494.5	38944.7
SPO2707	Bacterial luciferase family protein	435310	425880	527188
SPO2708	Aldehyde dehydrogenase family protein	430614	556333	307937
SPO2709	"Endoribonuclease L-PSP, putative"	402144	337147	279203
SPO2710	3-oxoadipate enol-lactonase family protein	925308	717045	846646
SPO2711	CaiB/BaiF family protein	102541	115903	149568
SPO2712	Peptide synthase	2.06E+06	2.11E+06	2.16E+06
SPO2713	Protein translocase subunit SecA 2 (EC 7.4.2.8)	734597	840799	787525
SPO2714	"Peptidase, M50 family"	912530	898458	882119
SPO2715	GAF domain protein	951384	1.07E+06	1.04E+06
SPO2716	Type I secretion target repeat protein	199867	273163	248688
SPO2717	"SapC protein, putative"	3.31E+06	3.68E+06	3.88E+06
SPO2718	RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein	336352	491825	483456
SPO2719	Protein NO VEIN C-terminal domain-containing protein	355812	437584	437673
SPO2721	Uncharacterized protein	4.32E+06	6.04E+06	6.05E+06
SPO2722	Uncharacterized protein	222337	337618	403346
SPO2723	Uncharacterized protein	4.53E+06	4.46E+06	4.60E+06
SPO2723a	Unknown	5.15E+06	5.61E+06	5.31E+06
SPO2724	Uncharacterized protein	3.01E+06	3.31E+06	3.26E+06
SPO2733	site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	3.40E+06	3.35E+06	3.32E+06
SPO2734	"Type I restriction-modification system, S subunit"	1.86E+06	1.88E+06	1.99E+06
SPO2735	type I site-specific deoxyribonuclease (EC 3.1.21.3)	1.84E+06	2.12E+06	2.10E+06
SPO2736	GIY-YIG domain-containing protein	668607	695873	716535
SPO2738	"Lipoprotein, putative"	2.58E+07	1.82E+07	1.88E+07
SPO2739	serine-type D-Ala-D-Ala carboxypeptidase (EC 3.4.16.4)	1.21E+07	1.24E+07	1.26E+07
SPO2740	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	7.68E+06	7.25E+06	6.88E+06
SPO2741	DNA-directed DNA polymerase (EC 2.7.7.7)	2.56E+06	2.16E+06	2.21E+06
SPO2742	"Hydrolase, TatD family"	4.36E+06	4.35E+06	4.07E+06
SPO2743	Metallo-beta-lactamase domain-containing protein	2.27E+06	2.45E+06	2.68E+06
SPO2744	"Malonate transporter, putative"
SPO2745	Cobalamin biosynthesis protein CbiX	2.00E+06	1.34E+06	1.39E+06
SPO2746	Peptidoglycan binding-like domain-containing protein	3.07E+06	2.94E+06	2.82E+06
SPO2747	"Diguanylate cyclase, putative"	1.15E+06	1.16E+06	1.19E+06
SPO2748	Heme NO-binding domain-containing protein	750230	836139	856432
SPO2749	"Membrane protein, putative"	714065	628177	515234
SPO2750	Methyltransferase (EC 2.1.1.-)	506570	513204	514248
SPO2751	"HAD-superfamily hydrolase, subfamily IA, variant 1 family protein"	4.07E+06	4.77E+06	4.90E+06
SPO2752	DUF3572 domain-containing protein
SPO2753	diguanylate cyclase (EC 2.7.7.65)	1.26E+06	1.25E+06	1.29E+06
SPO2754	Integral membrane protein	1.64E+06	1.11E+06	1.10E+06
SPO2755	Dihydroorotate dehydrogenase	551751	563946	713244
SPO2756	"RNA polymerase sigma-70 factor, ECF family"	151411	158181	130444
SPO2757	EF hand domain protein	921316	686440	771956
SPO2758	Zinc-finger protein	422522	452413	502382
SPO2759	"Hydrolase, NUDIX family"	3.13E+06	2.94E+06	3.12E+06
SPO2760	Metallo-beta-lactamase family protein	4.55E+06	4.96E+06	4.84E+06
SPO2761	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	2.76E+06	4.10E+06	4.71E+06
