Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_1.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_2.raw	I:\Fadime\250206_Fadime_DSS3_ProMM_Sec_ML_3.raw
SPOA0186	SPOA0186						
SPOA0187	SPOA0187						
SPOA0189	SPOA0189						
SPOA0191	SPOA0191						
SPOA0192	SPOA0192						
SPOA0194	SPOA0194						
SPOA0199	SPOA0199						
SPOA0202	SPOA0202				1.04E+07	9.74E+06	1.43E+07
SPOA0203	SPOA0203				3.52E+06	1.49E+06	
SPOA0204	SPOA0204						1.34E+07
SPOA0205	SPOA0205				6.43E+06	5.48E+06	5.70E+06
SPOA0206	SPOA0206						
SPOA0207	SPOA0207						
SPOA0208	SPOA0208				1.07E+06	3.36E+06	1.26E+06
SPOA0209	SPOA0209						
SPOA0210	SPOA0210						
SPOA0211	SPOA0211						
SPOA0215	SPOA0215						
SPOA0218	SPOA0218						
SPOA0220	SPOA0220						
SPOA0221	SPOA0221						
SPOA0228	SPOA0228						
SPOA0230	SPOA0230						
SPOA0231	SPOA0231				583665	837430	472291
SPOA0235	SPOA0235				2.04E+06	2.88E+06	3.71E+06
SPOA0236	SPOA0236						
SPOA0237	SPOA0237						
SPOA0241	SPOA0241				3.86E+06	2.98E+06	1.38E+06
SPOA0242	SPOA0242					3.49E+06	
SPOA0243	SPOA0243				1.10E+07		
SPOA0244	SPOA0244				4.95E+06	5.84E+06	7.20E+06
SPOA0245	SPOA0245						
SPOA0246	SPOA0246						
SPOA0247	SPOA0247				865228	807315	598104
SPOA0249	SPOA0249				6.70E+06	1.01E+07	7.66E+06
SPOA0252	SPOA0252						
SPOA0253	SPOA0253						
SPOA0256	SPOA0256						
SPOA0257	SPOA0257						
SPOA0258	SPOA0258						
SPOA0259	SPOA0259						
SPOA0260	SPOA0260						
SPOA0261	SPOA0261					1.10E+07	
SPOA0262	SPOA0262						
SPOA0263	SPOA0263						
SPOA0265	SPOA0265					809948	
SPOA0267	SPOA0267						
SPOA0268	SPOA0268						
SPOA0269	SPOA0269				1.08E+06	1.30E+06	1.89E+06
SPOA0270	SPOA0270						
SPOA0271	SPOA0271						
SPOA0272a	SPOA0272a				6.69E+06	8.43E+06	3.56E+06
SPOA0273	SPOA0273						
SPOA0274	SPOA0274				1.96E+06	1.83E+06	1.30E+06
SPOA0275	SPOA0275						
SPOA0276	SPOA0276					2.57E+06	
SPOA0277	SPOA0277						
SPOA0278	SPOA0278						
SPOA0279	SPOA0279						
SPOA0280	SPOA0280				606852	1.16E+06	992443
SPOA0281	SPOA0281						
SPOA0282	SPOA0282					89995.4	
SPOA0284	SPOA0284						
SPOA0285	SPOA0285						
SPOA0286	SPOA0286						61653.3
SPOA0287	SPOA0287				4.91E+06		
SPOA0288	SPOA0288				4.24E+06		
SPOA0289	SPOA0289						
SPOA0290	SPOA0290						
SPOA0291	SPOA0291				4.32E+06	5.57E+06	4.57E+06
SPOA0292	SPOA0292						
SPOA0293	SPOA0293						
SPOA0294	SPOA0294						
SPOA0295	SPOA0295						
SPOA0296	SPOA0296						
SPOA0297	SPOA0297						
SPOA0299	SPOA0299						
SPOA0300	SPOA0300				6.38E+06	6.54E+06	6.20E+06
SPOA0301	SPOA0301						
SPOA0302	SPOA0302						
SPOA0303	SPOA0303					1.24E+06	
SPOA0304	SPOA0304				1.24E+08	111135	
SPOA0305	SPOA0305						
SPOA0306	SPOA0306				157312	59852.9	1.16E+06
SPOA0309	SPOA0309						
SPOA0310	SPOA0310						
SPOA0311	SPOA0311						
SPOA0314	SPOA0314						
SPOA0315	SPOA0315				1.08E+06	1.31E+06	3.88E+06
SPOA0316	SPOA0316				5.84E+07	6.35E+07	7.41E+07
SPOA0317	SPOA0317						
SPOA0318	SPOA0318						
SPOA0319	SPOA0319					4.76E+06	
SPOA0320	SPOA0320					79497.4	
SPOA0321	SPOA0321						
SPOA0322	SPOA0322				445766		
SPOA0323	SPOA0323						
SPOA0324	SPOA0324						
SPOA0325	SPOA0325				902302	795363	713165
SPOA0326	SPOA0326						
SPOA0328	SPOA0328						
SPOA0330	SPOA0330				223573	220018	169683
SPOA0332	SPOA0332						
SPOA0333	SPOA0333						
SPOA0335	SPOA0335				6.94E+06	8.49E+06	9.95E+06
SPOA0336	SPOA0336						
SPOA0337	SPOA0337						
SPOA0338	SPOA0338				500089		767961
SPOA0339	SPOA0339						
SPOA0340	SPOA0340				289123	532350	536571
SPOA0341	SPOA0341				478854		355016
SPOA0342	SPOA0342				97808.8	536752	
SPOA0343	SPOA0343				491978	464961	742435
SPOA0344	SPOA0344						
SPOA0345	SPOA0345				155062	347305	274087
SPOA0346	SPOA0346				308245	377975	294959
SPOA0347	SPOA0347						
SPOA0348	SPOA0348					4.56E+06	2.36E+07
SPOA0349	SPOA0349						
SPOA0352	SPOA0352					6.66E+06	
SPOA0353	SPOA0353				3.57E+06	7.53E+06	
SPOA0354	SPOA0354					447494	
SPOA0355	SPOA0355						
SPOA0356	SPOA0356						
SPOA0357	SPOA0357				1.01E+06	1.10E+06	925899
SPOA0358	SPOA0358				8.45E+07		793576
SPOA0360	SPOA0360						
SPOA0362	SPOA0362				292730	356682	211845
SPOA0364	SPOA0364				5.46E+07	2.28E+07	1.80E+07
SPOA0365	SPOA0365						
SPOA0369	SPOA0369						
SPOA0374	SPOA0374						
SPOA0375	SPOA0375						
SPOA0377	SPOA0377						
SPOA0378	SPOA0378						
SPOA0379	SPOA0379				3.18E+06		
SPOA0380	SPOA0380						
SPOA0381	SPOA0381				8.98E+06	9.48E+06	1.02E+07
SPOA0382	SPOA0382						
SPOA0383	SPOA0383						
SPOA0385	SPOA0385						
SPOA0386	SPOA0386						
SPOA0387	SPOA0387						
SPOA0388	SPOA0388						
SPOA0389	SPOA0389						
SPOA0390	SPOA0390					80780.9	
SPOA0391	SPOA0391						
SPOA0392	SPOA0392						
SPOA0393	SPOA0393						
SPOA0395	SPOA0395						
SPOA0396	SPOA0396						
SPOA0397	SPOA0397				43077.2		
SPOA0399	SPOA0399						
SPOA0400	SPOA0400				1.11E+07	1.27E+07	1.42E+07
SPOA0401	SPOA0401				6.60E+06	1.74E+06	590473
SPOA0402	SPOA0402						
SPOA0403	SPOA0403						
SPOA0404	SPOA0404						
SPOA0405	SPOA0405						
SPOA0406	SPOA0406						
SPOA0407	SPOA0407				635514		3.66E+07
SPOA0408	SPOA0408					141778	277488
SPOA0409	SPOA0409						
SPOA0410	SPOA0410				1.80E+07	1.38E+07	2.19E+07
SPOA0412	SPOA0412				6.92E+07	6.51E+07	6.83E+07
SPOA0413	SPOA0413				5.50E+06	8.77E+06	5.53E+06
SPOA0414	SPOA0414				7.17E+07	6.16E+07	6.22E+07
SPOA0415	SPOA0415						816538
SPOA0416	SPOA0416						
SPOA0417	SPOA0417						
SPOA0418	SPOA0418						195079
SPOA0419	SPOA0419						
SPOA0421	SPOA0421						
SPOA0423	SPOA0423						88490.6
SPOA0424	SPOA0424						
SPOA0425	SPOA0425				7.16E+08	1.68E+08	2.60E+08
SPOA0426	SPOA0426				70860.5		
SPOA0427	SPOA0427				210893	324749	329772
SPOA0428	SPOA0428				368990	394497	286491
SPOA0429	SPOA0429						4.31E+06
SPOA0430	SPOA0430				1.25E+06	1.24E+06	1.65E+06
SPOA0431	SPOA0431						
SPOA0432	SPOA0432						
SPOA0433	SPOA0433				1.22E+07	1.53E+07	1.55E+07
SPOA0434	SPOA0434				193091	462064	244572
SPOA0435	SPOA0435						7.70E+06
SPOA0436	SPOA0436						
SPOA0437	SPOA0437				2.08E+06	2.98E+06	2.42E+06
SPOA0438	SPOA0438					702865	825687
SPOA0439	SPOA0439				192885	396038	332184
SPOA0440	SPOA0440				2.43E+07	2.15E+07	1.64E+07
SPOA0441	SPOA0441						
SPOA0443	SPOA0443						
SPOA0444	SPOA0444				1.03E+08	9.46E+07	8.33E+07
SPOA0445	SPOA0445						
SPOA0446	SPOA0446						
SPOA0449	SPOA0449						
SPOA0451	SPOA0451					148085	31428.4
SPOA0452	SPOA0452						61597
