Accession Number	Annotation	1	2	3
SPO0210	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	4.43E+07	4.51E+07	4.49E+07
SPO0211	"Transcriptional regulator, LysR family"	199562	206764	174963
SPO0212	Uncharacterized protein	316166	289732	281712
SPO0213	Endonuclease/exonuclease/phosphatase domain-containing protein	320233	291124	297589
SPO0214	"Membrane protein, putative"	371616	407498	463943
SPO0215	3-isopropylmalate dehydratase small subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	1.69E+07	1.95E+07	2.12E+07
SPO0216	3-isopropylmalate dehydratase large subunit (EC 4.2.1.33) (Alpha-IPM isomerase) (IPMI) (Isopropylmalate isomerase)	6.11E+07	6.24E+07	6.58E+07
SPO0218	Mechanosensitive ion channel family protein	511926	418385	440727
SPO0219	Ribosomal silencing factor RsfS	7.23E+06	7.28E+06	8.31E+06
SPO0220	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	2.37E+06	2.54E+06	2.54E+06
SPO0221	NADPH-dependent FMN reductase-like domain-containing protein	1.02E+06	1.18E+06	1.22E+06
SPO0222	Alanine dehydrogenase (EC 1.4.1.1)	932577	972280	1.03E+06
SPO0223	"Transcriptional regulator, AsnC family"	1.18E+06	1.17E+06	1.16E+06
SPO0224	NDP-polyphosphate phosphotransferase 1 (EC 2.7.4.-) (Polyphosphate kinase PPK2 1) (RpPPK2-1)	6.20E+06	6.40E+06	6.47E+06
SPO0225	"Transcriptional regulator, putative"	694040	664982	617488
SPO0226	Cytochrome P450 family protein	766860	759390	780807
SPO0227	"PaxA, putative"	1.40E+07	1.21E+07	1.12E+07
SPO0229	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)	5.95E+07	7.00E+07	6.32E+07
SPO0230	COQ9 C-terminal domain-containing protein	2.60E+06	2.56E+06	2.60E+06
SPO0231	"Alcohol dehydrogenase, zinc-containing"	1.65E+07	1.60E+07	1.62E+07
SPO0232	"Quinone oxidoreductase, putative"	6.51E+06	7.07E+06	6.72E+06
SPO0233	"Transcriptional regulator, AsnC family"	949381	898748	862801
SPO0234	Lysine dehydrogenase	401807	593178	161185
SPO0235	aldehyde dehydrogenase (NAD(+)) (EC 1.2.1.3)	200052	205023	199115
SPO0236	"Glycerophosphoryl diester phosphodiesterase, putative"	983763	892535	883867
SPO0237	sn-glycerol-3-phosphate import ATP-binding protein UgpC (EC 7.6.2.10)	1.19E+06	1.08E+06	1.16E+06
SPO0238	sn-glycerol-3-phosphate transport system permease protein UgpE	220152	227554	237240
SPO0239	sn-glycerol-3-phosphate transport system permease protein UgpA	450625	441097	390886
SPO0240	"SN-glycerol-3-phosphate ABC transporter, periplasmic SN-glycerol-3-phosphate-binding protein"	3.96E+06	3.90E+06	4.03E+06
SPO0241	"Transcriptional regulator, LysR family"	701766	692790	727576
SPO0247	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	5.15E+06	5.08E+06	5.02E+06
SPO0248	Farnesyl diphosphate synthase (EC 2.5.1.10)	4.09E+06	4.44E+06	3.99E+06
SPO0249	Exodeoxyribonuclease 7 small subunit (EC 3.1.11.6) (Exodeoxyribonuclease VII small subunit) (Exonuclease VII small subunit)	93311.1		185668
SPO0250	Histone deacetylase family protein	1.76E+06	1.69E+06	1.62E+06
SPO0251	DNA-binding response regulator PetR	3.87E+06	3.70E+06	3.74E+06
SPO0252	Transcriptional regulator PetP	1.32E+06	1.28E+06	1.35E+06
SPO0253	Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42)	1.05E+07	1.03E+07	1.01E+07
SPO0254	Organic hydroperoxide resistance protein	1.40E+07	1.60E+07	1.48E+07
SPO0255	"Transcriptional regulator, MarR family"	399722	353429	381606
SPO0257	DUF4142 domain-containing protein			47412.6
SPO0258	"Transcriptional regulator, AraC family"	1.73E+06	1.59E+06	1.57E+06
SPO0260	"Alkaline phosphatase, putative"	316719	309391	318352
SPO0261	"Membrane protein, putative"	195387	193742	223003
SPO0262	"Corrinoid adenosyltransferase (EC 2.5.1.17) (Cob(II)alamin adenosyltransferase) (Cob(II)yrinic acid a,c-diamide adenosyltransferase)"	1.37E+07	1.44E+07	1.47E+07
SPO0264	CaiB/BaiF family protein	1.26E+07	1.35E+07	1.36E+07
SPO0265	Auxin efflux carrier family protein	59479.1	49522.4	41450.2
SPO0266	HD domain protein	802133	840525	851104
SPO0267	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	5.47E+06	5.54E+06	5.53E+06
